name,ttm,12/31/2023,9/30/2023,6/30/2023,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019,3/31/2019,12/31/2018,9/30/2018,6/30/2018,3/31/2018,12/31/2017,9/30/2017,6/30/2017,3/31/2017,12/31/2016,9/30/2016,6/30/2016,3/31/2016,12/31/2015,9/30/2015,6/30/2015,3/31/2015,12/31/2014,9/30/2014,6/30/2014,3/31/2014,12/31/2013,9/30/2013,6/30/2013,3/31/2013,12/31/2012,9/30/2012,6/30/2012,3/31/2012,12/31/2011,9/30/2011,6/30/2011,3/31/2011,12/31/2010,9/30/2010,6/30/2010,3/31/2010,12/31/2009,9/30/2009,6/30/2009,3/31/2009,12/31/2008,9/30/2008,6/30/2008,3/31/2008,12/31/2007,9/30/2007,6/30/2007,3/31/2007,12/31/2006,9/30/2006,6/30/2006,3/31/2006,12/31/2005,9/30/2005,6/30/2005,3/31/2005,12/31/2004,9/30/2004,6/30/2004,3/31/2004,12/31/2003,9/30/2003,6/30/2003,3/31/2003,12/31/2002,9/30/2002,6/30/2002,3/31/2002,12/31/2001,9/30/2001,6/30/2001,3/31/2001,12/31/2000,9/30/2000,6/30/2000,3/31/2000,12/31/1999,9/30/1999,6/30/1999,3/31/1999,12/31/1998,9/30/1998,6/30/1998,3/31/1998,12/31/1997,9/30/1997,6/30/1997,3/31/1997
OperatingCashFlow,"84,946,000,000","42,465,000,000","21,217,000,000","16,476,000,000","4,788,000,000","29,173,000,000","11,404,000,000","8,965,000,000","-2,790,000,000","22,086,000,000","7,313,000,000","12,715,000,000","4,213,000,000","30,431,000,000","11,964,000,000","20,606,000,000","3,064,000,000","19,659,000,000","7,892,000,000","9,118,000,000","1,846,000,000","16,477,000,000","8,588,000,000","7,449,000,000","-1,791,000,000","12,344,000,000","3,777,000,000","3,850,000,000","-1,619,000,000","10,652,000,000","4,659,000,000","3,578,000,000","-1,953,000,000","8,812,000,000","2,610,000,000","1,997,000,000","-1,499,000,000","6,715,000,000","1,766,000,000","862,000,000","-2,502,000,000","5,578,000,000","1,388,000,000","880,000,000","-2,372,000,000","5,081,000,000","943,000,000","594,000,000","-2,438,000,000","4,269,000,000","797,000,000","423,000,000","-1,586,000,000","3,488,000,000","855,000,000","250,000,000","-1,098,000,000","2,611,000,000","799,000,000","468,000,000","-585,000,000","1,571,000,000","424,000,000","347,000,000","-645,000,000","1,148,000,000","237,000,000","299,000,000","-279,000,000","744,000,000","130,000,000","130,000,000","-303,000,000","630,000,000","153,000,000","244,000,000","-294,000,000","557,567,000","117,000,000","143,000,000","-250,000,000","480,963,000","36,817,000","126,024,000","-251,782,000","372,579,000","38,108,000","4,637,000","-241,033,000","349,120,000","-64,403,000","2,485,000","-406,984,000","247,653,000","-3,688,000","-54,029,000","-320,378,000","31,506,000","-75,573,000","-29,614,000","-17,194,000","38,698,000","-3,300,000","2,900,000","-7,300,000","7,300,000","-8,100,000","1,400,000","1,200,000"
"	CashFlowFromContinuingOperatingActivities","84,946,000,000","42,465,000,000","21,217,000,000","16,476,000,000","4,788,000,000","29,173,000,000","11,404,000,000","8,965,000,000","-2,790,000,000","22,086,000,000","7,313,000,000","12,715,000,000","4,213,000,000","30,431,000,000","11,964,000,000","20,606,000,000","3,064,000,000","19,659,000,000","7,892,000,000","9,118,000,000","1,846,000,000","16,477,000,000","8,588,000,000","7,449,000,000","-1,791,000,000","12,344,000,000","3,777,000,000","3,850,000,000","-1,619,000,000","10,652,000,000","4,659,000,000","3,578,000,000","-1,953,000,000","8,812,000,000","2,610,000,000","1,997,000,000","-1,499,000,000","6,715,000,000","1,766,000,000","862,000,000","-2,502,000,000","5,578,000,000","1,388,000,000","880,000,000","-2,372,000,000","5,081,000,000","943,000,000","594,000,000","-2,438,000,000","4,269,000,000","797,000,000","423,000,000","-1,586,000,000","3,488,000,000","855,000,000","250,000,000","-1,098,000,000","2,611,000,000","799,000,000","468,000,000","-585,000,000","1,571,000,000","424,000,000","347,000,000","-645,000,000","1,148,000,000","237,000,000","299,000,000","-279,000,000","744,000,000","130,000,000","130,000,000","-303,000,000","630,000,000","153,000,000","244,000,000","-294,000,000","557,567,000","117,000,000","143,000,000","-250,400,000","480,963,000","36,817,000","126,024,000","-251,782,000","372,579,000","38,108,000","4,637,000","-241,033,000","349,120,000","-64,403,000","2,485,000","-406,984,000","247,653,000","-3,688,000","-54,029,000","-320,378,000","31,506,000","-75,573,000","-29,614,000","-17,194,000","38,698,000","-3,300,000","2,900,000","-7,300,000","7,300,000","-8,100,000","1,400,000","1,200,000"
"		NetIncomeFromContinuingOperations","30,425,000,000","10,624,000,000","9,879,000,000","6,750,000,000","3,172,000,000","278,000,000","2,872,000,000","-2,028,000,000","-3,844,000,000","14,323,000,000","3,156,000,000","7,778,000,000","8,107,000,000","7,222,000,000","6,331,000,000","5,243,000,000","2,535,000,000","3,268,000,000","2,134,000,000","2,625,000,000","3,561,000,000","3,027,000,000","2,883,000,000","2,534,000,000","1,629,000,000","1,857,000,000","256,000,000","197,000,000","724,000,000","749,000,000","252,000,000","857,000,000","513,000,000","482,000,000","79,000,000","92,000,000","-57,000,000","214,000,000","-437,000,000","-126,000,000","108,000,000","240,000,000","-41,000,000","-7,000,000","82,000,000","98,000,000","-274,000,000","7,000,000","130,000,000","177,000,000","63,000,000","191,000,000","201,000,000","416,000,000","231,000,000","207,000,000","299,000,000","384,000,000","199,000,000","142,000,000","177,000,000","225,000,000","118,000,000","158,000,000","143,000,000","207,000,000","80,000,000","78,000,000","111,000,000","97,000,000","19,000,000","22,000,000","51,000,000","199,000,000","30,000,000","52,000,000","78,000,000","346,688,000","54,000,000","76,000,000","111,000,000","73,154,000","15,563,000","-43,314,000","-10,121,000","2,651,000","-35,080,000","-93,553,000","-23,150,000","5,087,000","-169,874,000","-168,359,000","-234,131,000","-545,140,000","-240,524,000","-317,184,000","-308,425,000","-323,213,000","-197,080,000","-138,008,000","-61,667,000","-46,427,000","-47,600,000","-20,100,000","-10,400,000","-9,300,000","-10,500,000","-6,700,000","-3,000,000"
"		OperatingGainsLosses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","-3,000,000","-1,000,000",,0,"1,000,000",,,"-1,000,000","-4,000,000","-2,000,000","-2,000,000",0,"-6,000,000","1,000,000","2,000,000",0,"-2,000,000","4,000,000","20,000,000","-1,000,000","-1,000,000","71,000,000","-2,000,000",0,"1,000,000","-38,000,000","-3,000,000",0,"-6,000,000","10,000,000","3,000,000","7,000,000","-3,000,000","-1,000,000","2,000,000","-2,000,000","-2,000,000","-17,000,000","-17,000,000","17,589,000","5,000,000","-3,000,000","-15,800,000","-205,000","12,072,000","-5,272,000","-3,980,000","36,690,000","-2,463,000","731,000","1,368,000","-14,835,000","64,874,000","-5,671,000","-34,423,000","196,441,000","65,116,000","112,100,000","85,664,000","79,371,000","22,006,000","12,844,000","8,113,000","31,611,000","8,400,000",,,,,,
"			NetForeignCurrencyExchangeGainLoss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","-10,000,000","-4,000,000","-3,000,000","-2,000,000","-17,000,000","-21,000,000","42,260,000","9,000,000","-1,000,000","-17,400,000",,"12,213,000",,,"38,499,000","-123,000","70,787,000","-6,027,000","-17,495,000","39,572,000","-22,876,000","-45,814,000",,,,,,,,,,,,,,,,
"			GainLossOnInvestmentSecurities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000","2,000,000","1,000,000","2,000,000","1,000,000","1,000,000","1,000,000","-3,000,000","-1,000,000",,0,"1,000,000",,,"-1,000,000","-4,000,000","-2,000,000","-2,000,000",0,"-6,000,000","1,000,000","2,000,000",0,"-2,000,000",,,"-1,000,000","-1,000,000",0,"-2,000,000",0,"1,000,000",,"-3,000,000",0,,,,0,"-3,000,000","-1,000,000","2,000,000","-1,000,000",,,"1,500,000","-24,671,000","-4,000,000","-2,000,000","-4,100,000","-205,000","-141,000","-5,272,000","-3,980,000","-2,509,000","-3,020,000","-437,000","-376,000","805,000","20,320,000","6,890,000","-1,784,000","158,882,000","-3,205,000","1,648,000","-2,600,000",,"-1,353,000","3,250,000","4,190,000",,,,,,,,
"			EarningsLossesFromEquityInvestments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"436,000","700,000","557,000","1,168,000","1,744,000","1,855,000","4,982,000","10,315,000","13,175,000","37,559,000","68,321,000","110,452,000","88,264,000",,"23,359,000","9,594,000","3,923,000",,,,,,,,
"		DepreciationAmortizationDepletion","48,663,000,000","13,820,000,000","12,131,000,000","11,589,000,000","11,123,000,000","13,145,000,000","10,327,000,000","9,716,000,000","9,193,000,000","9,802,000,000","8,948,000,000","8,038,000,000","7,508,000,000","7,618,000,000","6,523,000,000","5,748,000,000","5,362,000,000","6,170,000,000","5,563,000,000","5,202,000,000","4,854,000,000","4,262,000,000","3,778,000,000","3,630,000,000","3,671,000,000","3,498,000,000","2,912,000,000","2,633,000,000","2,435,000,000","2,297,000,000","2,084,000,000","1,909,000,000","1,827,000,000","1,752,000,000","1,599,000,000","1,504,000,000","1,426,000,000","1,380,000,000","1,247,000,000","1,109,000,000","1,010,000,000","962,000,000","834,000,000","756,000,000","700,000,000","662,000,000","554,000,000","485,000,000","457,000,000","359,000,000","278,000,000","244,000,000","202,000,000","169,000,000","150,000,000","129,000,000","119,000,000","112,000,000","96,000,000","84,000,000","87,000,000","77,000,000","76,000,000","70,000,000","65,000,000","63,000,000","61,000,000","60,000,000","62,000,000","59,000,000","63,000,000","43,000,000","40,000,000","36,000,000","30,000,000","26,000,000","28,000,000","20,831,000","19,000,000","18,000,000","18,000,000","18,608,000","18,338,000","19,003,000","19,750,000","20,776,000","21,713,000","22,344,000","22,919,000","58,584,000","61,630,000","71,624,000","73,904,000","101,951,000","102,051,000","101,095,000","101,135,000","211,995,000","83,953,000","45,252,000","26,123,000","-21,142,000","21,500,000","7,400,000","2,000,000","1,700,000","1,500,000","900,000","700,000"
"			DepreciationAndAmortization","48,663,000,000","13,820,000,000","12,131,000,000","11,589,000,000","11,123,000,000","13,145,000,000","10,327,000,000","9,716,000,000","9,193,000,000","9,802,000,000","8,948,000,000","8,038,000,000","7,508,000,000","7,618,000,000","6,523,000,000","5,748,000,000","5,362,000,000","6,170,000,000","5,563,000,000","5,202,000,000","4,854,000,000","4,262,000,000","3,778,000,000","3,630,000,000","3,671,000,000","3,498,000,000","2,912,000,000","2,633,000,000","2,435,000,000","2,297,000,000","2,084,000,000","1,909,000,000","1,827,000,000","1,752,000,000","1,599,000,000","1,504,000,000","1,426,000,000","1,380,000,000","1,247,000,000","1,109,000,000","1,010,000,000","962,000,000","834,000,000","756,000,000","700,000,000","662,000,000","554,000,000","485,000,000","457,000,000","359,000,000","278,000,000","244,000,000","202,000,000","169,000,000","150,000,000","129,000,000","119,000,000","112,000,000","96,000,000","84,000,000","87,000,000","77,000,000","76,000,000","70,000,000","65,000,000","63,000,000","61,000,000","60,000,000","62,000,000","59,000,000","63,000,000","43,000,000","40,000,000","36,000,000","30,000,000","26,000,000","28,000,000","20,831,000","19,000,000","18,000,000","18,000,000","18,608,000","18,338,000","19,003,000","19,750,000","20,776,000","21,713,000","22,344,000","22,919,000","58,584,000","61,630,000","71,624,000","73,904,000","101,951,000","102,051,000","101,095,000","101,135,000","211,995,000","83,953,000","45,252,000","26,123,000","-21,142,000","21,500,000","7,400,000","2,000,000","1,700,000","1,500,000","900,000","700,000"
"				Depreciation",,,,,,,,"9,594,000,000","8,978,000,000",,,"8,038,000,000","7,508,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"554,000,000",,"457,000,000","359,000,000","278,000,000","244,000,000","202,000,000","169,000,000","150,000,000","130,000,000","119,000,000",,"96,000,000","84,000,000","87,000,000",,,,"65,000,000",,,,,,,,,,,,,,,"18,129,000","17,681,000","18,467,000","18,338,000","19,003,000","19,750,000","19,863,000","20,501,000","20,970,000","20,940,000","21,047,000","19,795,000","20,794,000","23,073,000","22,741,000","22,857,000","20,682,000","18,180,000","13,871,000","9,610,000","8,102,000","5,223,000","-20,572,000","21,491,000","6,983,000","1,790,000",,,,
