name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996
TotalRevenue,"574,785,000,000","169,961,000,000","143,083,000,000","134,383,000,000","127,358,000,000","149,204,000,000","127,101,000,000","121,234,000,000","116,444,000,000","137,412,000,000","110,812,000,000","113,080,000,000","108,518,000,000","125,555,000,000","96,145,000,000","88,912,000,000","75,452,000,000","87,436,000,000","69,981,000,000","63,404,000,000","59,700,000,000","72,383,000,000","56,576,000,000","52,886,000,000","51,042,000,000","60,453,000,000","43,744,000,000","37,955,000,000","35,714,000,000","43,741,000,000","32,714,000,000","30,404,000,000","29,128,000,000","35,747,000,000","25,358,000,000","23,185,000,000","22,717,000,000","29,329,000,000","20,579,000,000","19,340,000,000","19,741,000,000","25,587,000,000","17,092,000,000","15,704,000,000","16,070,000,000","21,268,000,000","13,806,000,000","12,834,000,000","13,185,000,000","17,431,000,000","10,876,000,000","9,913,000,000","9,857,000,000","12,947,000,000","7,560,000,000","6,566,000,000","7,131,000,000","9,520,000,000","5,449,000,000","4,651,000,000","4,889,000,000","6,703,000,000","4,264,000,000","4,063,000,000","4,135,000,000","5,672,000,000","3,262,000,000","2,886,000,000","3,015,000,000","3,986,000,000","2,307,000,000","2,139,000,000","2,279,000,000","2,977,000,000","1,858,000,000","1,753,000,000","1,902,000,000","2,540,959,000","1,463,000,000","1,387,000,000","1,530,000,000","1,945,772,000","1,134,456,000","1,099,912,000","1,083,559,000","1,428,610,000","851,299,000","805,605,000","847,422,000","1,115,171,000","639,281,000","667,625,000","700,356,000","972,360,000","637,858,000","577,876,000","573,889,000","676,042,000","355,777,000","314,377,000","293,643,000","252,893,000","153,600,000","116,000,000","87,400,000","66,100,000","37,900,000","27,900,000","16,000,000","8,400,000","4,200,000","2,200,000","900,000"
	OperatingRevenue,"574,785,000,000","169,961,000,000","143,083,000,000","134,383,000,000","127,358,000,000","149,204,000,000","127,101,000,000","121,234,000,000","116,444,000,000","137,412,000,000","110,812,000,000","113,080,000,000","108,518,000,000","125,555,000,000","96,145,000,000","88,912,000,000","75,452,000,000","87,436,000,000","69,981,000,000","63,404,000,000","59,700,000,000","72,383,000,000","56,576,000,000","52,886,000,000","51,042,000,000","60,453,000,000","43,744,000,000","37,955,000,000","35,714,000,000","43,741,000,000","32,714,000,000","30,404,000,000","29,128,000,000","35,747,000,000","25,358,000,000","23,185,000,000","22,717,000,000","29,329,000,000","20,579,000,000","19,340,000,000","19,741,000,000","25,587,000,000","17,092,000,000","15,704,000,000","16,070,000,000","21,268,000,000","13,806,000,000","12,834,000,000","13,185,000,000","17,431,000,000","10,876,000,000","9,913,000,000","9,857,000,000","12,947,000,000","7,560,000,000","6,566,000,000","7,131,000,000","9,520,000,000","5,449,000,000","4,651,000,000","4,889,000,000","6,703,000,000","4,264,000,000","4,063,000,000","4,135,000,000","5,672,000,000","3,262,000,000","2,886,000,000","3,015,000,000","3,986,000,000","2,307,000,000","2,139,000,000","2,279,000,000","2,977,000,000","1,858,000,000","1,753,000,000","1,902,000,000","2,540,959,000","1,463,000,000","1,387,000,000","1,530,000,000","1,945,772,000","1,134,456,000","1,099,912,000","1,083,559,000","1,428,610,000","851,299,000","805,605,000","847,422,000","1,115,171,000","639,281,000","667,625,000","700,356,000","972,360,000","637,858,000","577,876,000","573,889,000","676,042,000","355,777,000","314,377,000","293,643,000","252,893,000","153,600,000","116,000,000","87,400,000","66,100,000","37,900,000","27,900,000","16,000,000","8,400,000","4,200,000","2,200,000","900,000"
CostOfRevenue,"480,980,000,000","140,686,000,000","118,539,000,000","112,609,000,000","109,146,000,000","129,557,000,000","110,336,000,000","104,838,000,000","101,612,000,000","120,593,000,000","95,808,000,000","95,685,000,000","91,421,000,000","109,807,000,000","82,787,000,000","76,854,000,000","65,113,000,000","75,909,000,000","60,669,000,000","54,673,000,000","50,448,000,000","62,483,000,000","48,440,000,000","45,811,000,000","45,286,000,000","53,783,000,000","39,913,000,000","34,158,000,000","31,950,000,000","39,222,000,000","29,730,000,000","26,938,000,000","26,079,000,000","32,455,000,000","23,182,000,000","21,056,000,000","20,908,000,000","26,732,000,000","19,693,000,000","18,007,000,000","18,363,000,000","23,586,000,000","16,134,000,000","14,632,000,000","14,980,000,000","19,740,000,000","13,021,000,000","11,926,000,000","12,267,000,000","16,352,000,000","10,215,000,000","9,164,000,000","9,042,000,000","11,925,000,000","6,908,000,000","5,947,000,000","6,413,000,000","8,648,000,000","4,957,000,000","4,226,000,000","4,438,000,000","6,182,000,000","3,922,000,000","3,715,000,000","3,767,000,000","5,201,000,000","3,005,000,000","2,644,000,000","2,742,000,000","3,651,000,000","2,147,000,000","1,986,000,000","2,071,000,000","2,692,000,000","1,687,000,000","1,567,000,000","1,702,000,000","2,273,768,000","1,314,000,000","1,243,000,000","1,356,000,000","1,729,561,000","1,009,467,000","985,574,000","966,770,000","1,269,058,000","778,381,000","731,354,000","769,609,000","1,002,466,000","612,335,000","638,198,000","686,291,000","817,851,000","638,159,000","596,541,000","606,462,000","747,918,000","329,751,000","280,995,000","252,254,000","199,476,000","117,800,000","87,800,000","66,000,000","51,400,000","29,300,000","21,700,000","11,800,000",,,,
GrossProfit,"93,805,000,000","29,275,000,000","24,544,000,000","21,774,000,000","18,212,000,000","19,647,000,000","16,765,000,000","16,396,000,000","14,832,000,000","16,819,000,000","15,004,000,000","17,395,000,000","17,097,000,000","15,748,000,000","13,358,000,000","12,058,000,000","10,339,000,000","11,527,000,000","9,312,000,000","8,731,000,000","9,252,000,000","9,900,000,000","8,136,000,000","7,075,000,000","5,756,000,000","6,670,000,000","3,831,000,000","3,797,000,000","3,764,000,000","4,519,000,000","2,984,000,000","3,466,000,000","3,049,000,000","3,292,000,000","2,176,000,000","2,129,000,000","1,809,000,000","2,597,000,000","886,000,000","1,333,000,000","1,378,000,000","2,001,000,000","958,000,000","1,072,000,000","1,090,000,000","1,528,000,000","785,000,000","908,000,000","918,000,000","1,079,000,000","661,000,000","749,000,000","815,000,000","1,022,000,000","652,000,000","619,000,000","718,000,000","872,000,000","492,000,000","425,000,000","451,000,000","521,000,000","342,000,000","348,000,000","368,000,000","471,000,000","257,000,000","242,000,000","273,000,000","335,000,000","160,000,000","153,000,000","208,000,000","285,000,000","171,000,000","186,000,000","200,000,000","267,191,000","149,000,000","144,000,000","174,000,000","216,211,000","124,989,000","114,338,000","116,789,000","159,552,000","72,918,000","74,251,000","77,813,000","112,705,000","26,946,000","29,427,000","14,065,000","154,509,000","-301,000","-18,665,000","-32,573,000","-71,876,000","26,026,000","33,382,000","41,389,000","53,417,000","35,800,000","28,200,000","21,400,000","14,700,000","8,600,000","6,200,000","4,200,000",,,,
OperatingExpense,"56,953,000,000","16,066,000,000","13,356,000,000","14,093,000,000","13,438,000,000","16,910,000,000","14,240,000,000","13,079,000,000","11,163,000,000","13,359,000,000","10,152,000,000","9,693,000,000","8,232,000,000","8,875,000,000","7,164,000,000","6,215,000,000","6,350,000,000","7,648,000,000","6,155,000,000","5,647,000,000","4,832,000,000","6,114,000,000","4,412,000,000","4,092,000,000","3,829,000,000","4,543,000,000","3,484,000,000","3,169,000,000","2,759,000,000","3,264,000,000","2,409,000,000","2,181,000,000","1,978,000,000","2,183,000,000","1,770,000,000","1,665,000,000","1,554,000,000","2,007,000,000","1,430,000,000","1,348,000,000","1,232,000,000","1,491,000,000","983,000,000","993,000,000","909,000,000","1,123,000,000","813,000,000","801,000,000","726,000,000","819,000,000","582,000,000","548,000,000","493,000,000","548,000,000","384,000,000","349,000,000","324,000,000","396,000,000","241,000,000","266,000,000","207,000,000","248,000,000","188,000,000","131,000,000","170,000,000","200,000,000","134,000,000","126,000,000","128,000,000","138,000,000","120,000,000","106,000,000","102,000,000","120,000,000","116,000,000","82,000,000","92,000,000","104,749,000","68,000,000","58,000,000","64,000,000","75,703,000","73,058,000","72,515,000","77,564,000","93,274,000","45,806,000","72,779,000","66,065,000","55,962,000","51,451,000","59,787,000","65,582,000","213,343,000","72,229,000","78,850,000","80,345,000","117,521,000","117,013,000","105,303,000","72,071,000","71,239,000","77,400,000","45,200,000","31,300,000","24,400,000","17,800,000","13,200,000","7,400,000",,,,
	SellingGeneralAndAdministration,"56,186,000,000","15,912,000,000","13,112,000,000","13,947,000,000","13,215,000,000","16,151,000,000","14,075,000,000","12,989,000,000","10,914,000,000","13,335,000,000","10,163,000,000","9,682,000,000","8,194,000,000","9,371,000,000","7,102,000,000","5,925,000,000","6,280,000,000","7,583,000,000","6,100,000,000","5,561,000,000","4,837,000,000","6,029,000,000","4,344,000,000","4,012,000,000","3,766,000,000","4,484,000,000","3,439,000,000","3,103,000,000","2,715,000,000","3,230,000,000","2,377,000,000","2,126,000,000","1,933,000,000","2,148,000,000","1,727,000,000","1,617,000,000","1,510,000,000","1,968,000,000","1,399,000,000","1,320,000,000","1,197,000,000","1,451,000,000","972,000,000","961,000,000","878,000,000","1,085,000,000","770,000,000","769,000,000","680,000,000","777,000,000","545,000,000","507,000,000","460,000,000","519,000,000","358,000,000","324,000,000","298,000,000","374,000,000","232,000,000","206,000,000","196,000,000","240,000,000","181,000,000","176,000,000","164,000,000","197,000,000","131,000,000","123,000,000","128,000,000","137,000,000","118,000,000","103,000,000","99,000,000","116,000,000","76,000,000","80,000,000","91,000,000","109,526,000","63,000,000","65,000,000","64,000,000","78,314,000","72,272,000","71,602,000","76,652,000","93,274,000","44,594,000","71,405,000","64,086,000","55,962,000","51,451,000","59,787,000","65,582,000","213,343,000","72,229,000","78,850,000","80,345,000","219,819,000","117,013,000","105,303,000","72,071,000","53,958,000","42,500,000","29,700,000","22,000,000","18,200,000","12,800,000","9,500,000","5,100,000",,,,
		GeneralAndAdministrativeExpense,"11,816,000,000","3,010,000,000","2,561,000,000","3,202,000,000","3,043,000,000","3,333,000,000","3,061,000,000","2,903,000,000","2,594,000,000","2,525,000,000","2,153,000,000","2,158,000,000","1,987,000,000","1,968,000,000","1,668,000,000","1,580,000,000","1,452,000,000","1,412,000,000","1,348,000,000","1,270,000,000","1,173,000,000","1,117,000,000","1,041,000,000","1,111,000,000","1,067,000,000","1,044,000,000","960,000,000","874,000,000","795,000,000","717,000,000","639,000,000","580,000,000","497,000,000","390,000,000","463,000,000","467,000,000","427,000,000","442,000,000","406,000,000","377,000,000","327,000,000","319,000,000","278,000,000","286,000,000","246,000,000","234,000,000","230,000,000","232,000,000","200,000,000","184,000,000","175,000,000","166,000,000","133,000,000","143,000,000","117,000,000","113,000,000","97,000,000","100,000,000","83,000,000","77,000,000","68,000,000","71,000,000","73,000,000","74,000,000","61,000,000","64,000,000","57,000,000","58,000,000","56,000,000","45,000,000","54,000,000","50,000,000","45,000,000","49,000,000","32,000,000","38,000,000","46,000,000","51,326,000","29,000,000","31,000,000","30,000,000","38,023,000","43,329,000","46,276,000","48,425,000","55,695,000","17,866,000","42,573,000","31,842,000","21,512,000","18,914,000","25,129,000","28,944,000","27,120,000","30,308,000","36,634,000","39,697,000","39,891,000","30,171,000","19,138,000","11,354,000","5,457,000","4,978,000","3,262,000","1,963,000",,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,629,000","9,274,000","21,692,000","7,107,000","15,039,000","20,936,000","24,453,000","27,323,000","35,680,000","-832,000","23,148,000","10,931,000","1,937,000","-2,567,000","2,351,000","2,916,000","-1,112,000","4,091,000","8,166,000","13,652,000",,"11,789,000","4,669,000","111,000",,,,,,,,,,,,
			OtherGandA,"11,816,000,000","3,010,000,000","2,561,000,000","3,202,000,000","3,043,000,000","3,333,000,000","3,061,000,000","2,903,000,000","2,594,000,000","2,525,000,000","2,153,000,000","2,158,000,000","1,987,000,000","1,968,000,000","1,668,000,000","1,580,000,000","1,452,000,000","1,412,000,000","1,348,000,000","1,270,000,000","1,173,000,000","1,117,000,000","1,041,000,000","1,111,000,000","1,067,000,000","1,044,000,000","960,000,000","874,000,000","795,000,000","717,000,000","639,000,000","580,000,000","497,000,000","390,000,000","463,000,000","467,000,000","427,000,000","442,000,000","406,000,000","377,000,000","327,000,000","319,000,000","278,000,000","286,000,000","246,000,000","234,000,000","230,000,000","232,000,000","200,000,000","184,000,000","175,000,000","166,000,000","133,000,000","143,000,000","117,000,000","113,000,000","97,000,000","100,000,000","83,000,000","77,000,000","68,000,000","71,000,000","73,000,000","74,000,000","61,000,000","64,000,000","57,000,000","58,000,000","56,000,000","45,000,000","54,000,000","50,000,000","45,000,000","49,000,000","32,000,000","38,000,000","46,000,000","31,697,000","29,000,000","31,000,000","30,000,000","22,984,000","22,393,000","21,823,000","21,102,000","20,015,000","18,698,000","19,425,000","20,911,000","19,575,000","21,481,000","22,778,000","26,028,000","28,232,000","26,217,000","28,468,000","26,045,000","9,273,000","18,382,000","14,469,000","11,243,000","5,457,000","4,978,000","3,262,000","1,963,000",,,,,,,,
		SellingAndMarketingExpense,"44,370,000,000","12,902,000,000","10,551,000,000","10,745,000,000","10,172,000,000","12,818,000,000","11,014,000,000","10,086,000,000","8,320,000,000","10,810,000,000","8,010,000,000","7,524,000,000","6,207,000,000","7,403,000,000","5,434,000,000","4,345,000,000","4,828,000,000","6,171,000,000","4,752,000,000","4,291,000,000","3,664,000,000","4,912,000,000","3,303,000,000","2,901,000,000","2,699,000,000","3,440,000,000","2,479,000,000","2,229,000,000","1,920,000,000","2,513,000,000","1,738,000,000","1,546,000,000","1,436,000,000","1,758,000,000","1,264,000,000","1,150,000,000","1,083,000,000","1,526,000,000","993,000,000","943,000,000","870,000,000","1,132,000,000","694,000,000","675,000,000","632,000,000","851,000,000","540,000,000","537,000,000","480,000,000","593,000,000","370,000,000","341,000,000","327,000,000","376,000,000","241,000,000","211,000,000","201,000,000","274,000,000","149,000,000","129,000,000","128,000,000","169,000,000","108,000,000","102,000,000","103,000,000","133,000,000","74,000,000","65,000,000","72,000,000","92,000,000","64,000,000","53,000,000","54,000,000","67,000,000","44,000,000","42,000,000","45,000,000","58,200,000","34,000,000","34,000,000","34,000,000","40,291,000","28,943,000","25,326,000","28,227,000","37,579,000","26,728,000","28,832,000","32,244,000","34,450,000","32,537,000","34,658,000","36,638,000","186,223,000","41,921,000","42,216,000","40,648,000","179,928,000","86,842,000","86,165,000","60,717,000","48,501,000","37,517,000","26,452,000","19,503,000",,,,,,,,
