Date,Open,y
6/1/1997,0.075521,0
9/1/1997,0.117188,0
12/1/1997,0.211979,0
3/1/1998,0.316146,0
6/1/1998,0.366667,0
9/1/1998,0.634375,0
12/1/1998,1.545833,0
3/1/1999,3.175,0
6/1/1999,2.7875,0
9/1/1999,3.175,0
12/1/1999,4.3625,1
3/1/2000,3.38125,1
6/1/2000,2.44375,0
9/1/2000,2.10625,1
12/1/2000,1.246875,1
3/1/2001,0.49375,0
6/1/2001,0.861,1
9/1/2001,0.4475,0
12/1/2001,0.551,0
3/1/2002,0.7065,0
6/1/2002,0.9155,1
9/1/2002,0.7355,0
12/1/2002,1.2075,0
3/1/2003,1.1075,0
6/1/2003,1.825,0
9/1/2003,2.326,0
12/1/2003,2.72,1
3/1/2004,2.151,0
6/1/2004,2.3935,1
9/1/2004,1.9115,0
12/1/2004,2,0
3/1/2005,1.753,0
6/1/2005,1.7785,0
9/1/2005,2.126,0
12/1/2005,2.444,1
3/1/2006,1.8725,0
6/1/2006,1.7315,0
9/1/2006,1.5425,0
12/1/2006,2.013,0
3/1/2007,1.966,0
6/1/2007,3.445,0
9/1/2007,3.995,0
12/1/2007,4.5015,1
3/1/2008,3.1795,0
6/1/2008,4.0575,0
9/1/2008,4.158,1
12/1/2008,2.1,0
3/1/2009,3.197,0
6/1/2009,3.9105,0
9/1/2009,4.037,0
12/1/2009,6.847,0
3/1/2010,5.935,0
6/1/2010,6.2485,0
9/1/2010,6.318,0
12/1/2010,8.958,0
3/1/2011,8.6765,0
6/1/2011,9.803,0
9/1/2011,10.764,0
12/1/2011,9.5925,0
3/1/2012,8.9945,0
6/1/2012,10.422,0
9/1/2012,12.4135,0
12/1/2012,12.627,0
3/1/2013,13.1635,0
6/1/2013,13.448,0
9/1/2013,14.2365,0
12/1/2013,19.950001,0
3/1/2014,17.937,0
6/1/2014,15.6295,0
9/1/2014,16.999001,0
12/1/2014,16.906,0
3/1/2015,19.0425,0
6/1/2015,21.52,0
9/1/2015,24.957001,0
12/1/2015,33.6875,1
3/1/2016,27.814501,0
6/1/2016,36.044998,0
9/1/2016,38.544998,0
12/1/2016,37.620499,0
3/1/2017,42.6525,0
6/1/2017,49.929501,0
9/1/2017,49.209999,0
12/1/2017,58.602501,0
3/1/2018,75.68,0
6/1/2018,81.851501,0
9/1/2018,101.324997,0
12/1/2018,88.473,0
3/1/2019,82.7565,0
6/1/2019,88.000504,0
9/1/2019,88.5,0
12/1/2019,90.220001,0
3/1/2020,95.324501,0
6/1/2020,122.400002,0
9/1/2020,174.479004,0
12/1/2020,159.425003,0
3/1/2021,156.394501,0
6/1/2021,162.175003,0
9/1/2021,174.820007,0
12/1/2021,177.25,0
3/1/2022,152.732498,1
6/1/2022,122.255997,0
9/1/2022,126,1
12/1/2022,96.989998,0
3/1/2023,93.870003,0
6/1/2023,120.690002,0
9/1/2023,139.460007,0
12/1/2023,146,0
3/1/2024,176.75,1
