name,12/31/2023,9/30/2023,6/30/2023,3/31/2023,12/31/2022,9/30/2022,6/30/2022,3/31/2022,12/31/2021,9/30/2021,6/30/2021,3/31/2021,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019,6/30/2019,3/31/2019,12/31/2018,9/30/2018,6/30/2018,3/31/2018,12/31/2017,9/30/2017,6/30/2017,3/31/2017,12/31/2016,9/30/2016,6/30/2016,3/31/2016,12/31/2015,9/30/2015,6/30/2015,3/31/2015,12/31/2014,9/30/2014,6/30/2014,3/31/2014,12/31/2013,9/30/2013,6/30/2013,3/31/2013,12/31/2012,9/30/2012,6/30/2012,3/31/2012,12/31/2011,9/30/2011,6/30/2011,3/31/2011,12/31/2010,9/30/2010,6/30/2010,3/31/2010,12/31/2009,9/30/2009,6/30/2009,3/31/2009,12/31/2008,9/30/2008,6/30/2008,3/31/2008,12/31/2007,9/30/2007,6/30/2007,3/31/2007,12/31/2006,9/30/2006,6/30/2006,3/31/2006,12/31/2005,9/30/2005,6/30/2005,3/31/2005,12/31/2004,9/30/2004,6/30/2004,3/31/2004,12/31/2003,9/30/2003,6/30/2003,3/31/2003,12/31/2002,9/30/2002,6/30/2002,3/31/2002,12/31/2001,9/30/2001,6/30/2001,3/31/2001,12/31/2000,9/30/2000,6/30/2000,3/31/2000,12/31/1999,9/30/1999,6/30/1999,3/31/1999,12/31/1998,9/30/1998,6/30/1998,3/31/1998,12/31/1997,9/30/1997,6/30/1997,3/31/1997,12/31/1996
TotalAssets,"527,854,000,000","486,883,000,000","477,607,000,000","464,378,000,000","462,675,000,000","428,362,000,000","419,728,000,000","410,767,000,000","420,549,000,000","382,406,000,000","360,319,000,000","323,077,000,000","321,195,000,000","282,179,000,000","258,314,000,000","221,238,000,000","225,248,000,000","199,099,000,000","191,351,000,000","178,102,000,000","162,648,000,000","143,695,000,000","134,100,000,000","126,362,000,000","131,310,000,000","115,267,000,000","87,781,000,000","80,969,000,000","83,402,000,000","70,897,000,000","65,076,000,000","61,128,000,000","64,747,000,000","56,230,000,000","52,440,000,000","50,075,000,000","54,505,000,000","40,419,000,000","37,898,000,000","36,364,000,000","40,159,000,000","31,861,000,000","29,623,000,000","28,377,000,000","32,555,000,000","22,834,000,000","21,022,000,000","20,339,000,000","25,278,000,000","19,054,000,000","17,941,000,000","16,882,000,000","18,797,000,000","14,162,000,000","12,397,000,000","12,042,000,000","13,813,000,000","8,972,000,000","7,675,000,000","6,980,000,000","8,314,000,000","6,566,000,000","6,322,000,000","5,883,000,000","6,485,000,000","4,618,000,000","3,984,000,000","3,661,000,000","4,363,000,000","3,268,000,000","3,165,000,000","2,990,000,000","3,696,000,000","2,832,000,000","2,601,000,000","2,472,000,000","3,248,000,000","2,108,668,000","1,888,110,000","1,738,561,000","2,162,033,000","1,749,685,000","1,596,854,000","1,705,933,000","1,990,449,000","1,497,405,000","1,435,047,000","1,361,928,000","1,637,547,000","1,346,368,000","1,345,036,000","1,470,155,000","2,135,169,000","2,254,627,000","2,460,730,000","2,729,743,000","2,465,850,000","2,239,799,000","2,298,214,000","1,812,984,000","648,460,000","619,714,000","443,759,000","145,007,000","149,844,000","57,400,000","63,100,000","11,700,000","8,300,000"
"	CurrentAssets","172,351,000,000","142,995,000,000","140,482,000,000","136,221,000,000","146,791,000,000","131,463,000,000","133,667,000,000","133,876,000,000","161,580,000,000","138,531,000,000","140,848,000,000","121,408,000,000","132,733,000,000","112,969,000,000","110,908,000,000","85,985,000,000","96,334,000,000","79,054,000,000","76,790,000,000","69,431,000,000","75,101,000,000","59,885,000,000","54,481,000,000","50,829,000,000","60,197,000,000","48,578,000,000","41,007,000,000","39,460,000,000","45,781,000,000","35,609,000,000","32,220,000,000","30,513,000,000","35,705,000,000","28,849,000,000","26,391,000,000","25,922,000,000","31,327,000,000","18,572,000,000","18,755,000,000","19,327,000,000","24,625,000,000","17,334,000,000","16,285,000,000","16,313,000,000","21,296,000,000","13,118,000,000","11,793,000,000","12,154,000,000","17,490,000,000","11,904,000,000","11,279,000,000","11,288,000,000","13,747,000,000","9,559,000,000","8,118,000,000","7,964,000,000","9,797,000,000","6,369,000,000","5,304,000,000","4,775,000,000","6,157,000,000","4,430,000,000","4,236,000,000","3,965,000,000","5,164,000,000","3,424,000,000","2,859,000,000","2,600,000,000","3,373,000,000","2,315,000,000","2,231,000,000","2,186,000,000","2,929,000,000","2,121,000,000","1,926,000,000","1,793,000,000","2,539,000,000","1,692,784,000","1,561,192,000","1,405,574,000","1,820,809,000","1,410,200,000","1,251,254,000","1,344,496,000","1,615,676,000","1,119,607,000","1,043,577,000","954,273,000","1,207,920,000","870,276,000","809,357,000","855,710,000","1,361,129,000","1,163,085,000","1,166,640,000","1,270,949,000","1,006,477,000","1,080,068,000","1,256,958,000","1,525,278,000","424,254,000","374,657,000","369,441,000","132,893,000","137,709,000","52,700,000","59,200,000","9,000,000","7,100,000"
"		CashCashEquivalentsAndShortTermInvestments","86,780,000,000","64,169,000,000","63,970,000,000","64,405,000,000","70,026,000,000","58,662,000,000","60,710,000,000","66,385,000,000","96,049,000,000","78,988,000,000","89,894,000,000","73,270,000,000","84,396,000,000","68,402,000,000","71,391,000,000","49,292,000,000","55,021,000,000","43,401,000,000","41,463,000,000","37,020,000,000","41,250,000,000","29,765,000,000","27,050,000,000","24,963,000,000","30,986,000,000","24,310,000,000","21,451,000,000","21,531,000,000","25,981,000,000","18,347,000,000","16,540,000,000","15,859,000,000","19,808,000,000","14,428,000,000","14,001,000,000","13,781,000,000","17,416,000,000","6,883,000,000","7,986,000,000","8,666,000,000","12,447,000,000","7,689,000,000","7,463,000,000","7,895,000,000","11,448,000,000","5,248,000,000","4,970,000,000","5,715,000,000","9,576,000,000","6,326,000,000","6,355,000,000","6,881,000,000","8,762,000,000","5,885,000,000","5,108,000,000","5,063,000,000","6,366,000,000","4,001,000,000","3,212,000,000","2,730,000,000","3,727,000,000","2,324,000,000","2,380,000,000","2,151,000,000","3,112,000,000","1,909,000,000","1,665,000,000","1,420,000,000","2,019,000,000","1,219,000,000","1,419,000,000","1,334,000,000","2,000,000,000","1,419,000,000","1,325,000,000","1,151,000,000","1,779,000,000","1,184,700,000","1,151,351,000","998,141,000","1,394,823,000","1,064,660,000","988,772,000","1,082,552,000","1,300,969,000","865,802,000","823,579,000","745,258,000","996,585,000","668,100,000","608,969,000","642,973,000","1,100,522,000","900,024,000","907,621,000","1,008,881,000","706,188,000","905,685,000","1,144,237,000","1,442,965,000","373,445,000","337,260,000","339,919,000","116,820,000","125,375,000","44,700,000","47,700,000","7,200,000","6,200,000"
"			CashAndCashEquivalents","73,387,000,000","49,605,000,000","49,529,000,000","49,343,000,000","53,888,000,000","34,947,000,000","37,478,000,000","36,393,000,000","36,220,000,000","29,944,000,000","40,380,000,000","33,834,000,000","42,122,000,000","29,930,000,000","37,466,000,000","27,201,000,000","36,092,000,000","23,255,000,000","22,616,000,000","23,115,000,000","31,750,000,000","20,425,000,000","19,823,000,000","16,676,000,000","20,522,000,000","12,767,000,000","13,203,000,000","15,440,000,000","19,334,000,000","13,656,000,000","12,521,000,000","12,470,000,000","15,890,000,000","10,709,000,000","10,269,000,000","10,237,000,000","14,557,000,000","5,258,000,000","5,057,000,000","5,074,000,000","8,658,000,000","3,872,000,000","3,704,000,000","4,481,000,000","8,084,000,000","2,980,000,000","2,335,000,000","2,288,000,000","5,269,000,000","2,823,000,000","2,047,000,000","2,641,000,000","3,777,000,000","1,539,000,000","1,629,000,000","1,844,000,000","3,444,000,000","2,514,000,000","1,936,000,000","1,701,000,000","2,769,000,000","1,650,000,000","1,548,000,000","1,496,000,000","2,539,000,000","1,366,000,000","1,004,000,000","748,000,000","1,022,000,000","693,000,000","683,000,000","507,000,000","1,013,000,000","600,000,000","629,000,000","533,000,000","1,303,000,000","745,608,000","701,150,000","768,587,000","1,102,273,000","666,418,000","641,728,000","495,773,000","738,254,000","327,564,000","270,438,000","296,689,000","540,282,000","432,307,000","462,949,000","446,944,000","822,435,000","647,048,000","720,377,000","84,087,000","133,309,000","43,149,000","42,539,000","5,248,000","25,561,000","14,856,000","2,523,000","98,600,000","1,876,000","44,700,000","47,700,000","7,200,000","6,200,000"
"				CashFinancial",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"407,906,000","195,172,000","203,773,000","196,238,000","427,306,000","271,697,000","227,767,000","203,777,000","302,964,000",,,,"149,968,000",,,,"141,922,000",,,"84,087,000","116,961,000",,,,"25,561,000",,,,"1,876,000",,,,
"				CashEquivalents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"894,694,000","550,436,000","497,377,000","572,349,000","674,967,000","394,721,000","413,961,000","291,996,000","435,290,000",,,,"390,314,000",,,,"680,513,000",,,,"16,348,000",,,,,,,,,,,,
"			OtherShortTermInvestments","13,393,000,000","14,564,000,000","14,441,000,000","15,062,000,000","16,138,000,000","23,715,000,000","23,232,000,000","29,992,000,000","59,829,000,000","49,044,000,000","49,514,000,000","39,436,000,000","42,274,000,000","38,472,000,000","33,925,000,000","22,091,000,000","18,929,000,000","20,146,000,000","18,847,000,000","13,905,000,000","9,500,000,000","9,340,000,000","7,227,000,000","8,287,000,000","10,464,000,000","11,543,000,000","8,248,000,000","6,091,000,000","6,647,000,000","4,691,000,000","4,019,000,000","3,389,000,000","3,918,000,000","3,719,000,000","3,732,000,000","3,544,000,000","2,859,000,000","1,625,000,000","2,929,000,000","3,592,000,000","3,789,000,000","3,817,000,000","3,759,000,000","3,414,000,000","3,364,000,000","2,268,000,000","2,635,000,000","3,427,000,000","4,307,000,000","3,503,000,000","4,308,000,000","4,240,000,000","4,985,000,000","4,346,000,000","3,479,000,000","3,219,000,000","2,922,000,000","1,487,000,000","1,276,000,000","1,029,000,000","958,000,000","674,000,000","832,000,000","655,000,000","573,000,000","543,000,000","661,000,000","672,000,000","997,000,000","526,000,000","736,000,000","827,000,000","987,000,000","819,000,000","696,000,000","618,000,000","476,000,000","439,092,000","450,201,000","229,554,000","292,550,000","398,242,000","347,044,000","586,779,000","562,715,000","538,238,000","553,141,000","448,569,000","456,303,000","235,793,000","146,020,000","196,029,000","278,087,000","252,976,000","187,244,000","924,794,000","572,879,000","862,536,000","1,101,698,000","1,437,717,000","347,884,000","322,404,000","337,396,000","18,220,000","123,499,000",,,,
"		Receivables","52,253,000,000","38,100,000,000","39,925,000,000","37,646,000,000","42,360,000,000","36,154,000,000","34,804,000,000","32,504,000,000","32,891,000,000","28,610,000,000","26,835,000,000","24,289,000,000","24,542,000,000","20,832,000,000","19,918,000,000","17,836,000,000","20,816,000,000","16,887,000,000","16,747,000,000","15,979,000,000","16,677,000,000","28,516,000,000","12,607,000,000","12,026,000,000","26,328,000,000","10,557,000,000","8,046,000,000","7,329,000,000","16,678,000,000","6,566,000,000","6,092,000,000","5,072,000,000","11,308,000,000","5,440,000,000","4,920,000,000","4,772,000,000","11,224,000,000","4,373,000,000","4,125,000,000","3,945,000,000","9,534,000,000","3,057,000,000","2,861,000,000","2,516,000,000","7,634,000,000","2,392,000,000","2,035,000,000","1,813,000,000","5,142,000,000","1,496,000,000","1,438,000,000","1,304,000,000","1,587,000,000","959,000,000","805,000,000","815,000,000","988,000,000","1,342,000,000","1,168,000,000","1,174,000,000","1,654,000,000","597,000,000","586,000,000","581,000,000","1,410,000,000","474,000,000","384,000,000","358,000,000","798,000,000","281,000,000","225,000,000","228,000,000","548,000,000","188,000,000","155,000,000","171,000,000","398,000,000","150,764,000","125,647,000","125,883,000","131,473,000","103,873,000","84,375,000","88,914,000","112,282,000",,,,"67,613,000",,,,,,,,,,,,,,,,,,,,
"			AccountsReceivable","52,253,000,000","35,600,000,000","39,925,000,000","37,646,000,000","42,360,000,000","36,154,000,000","34,804,000,000","32,504,000,000","32,891,000,000","28,610,000,000","26,835,000,000","24,289,000,000","24,542,000,000","20,832,000,000","19,918,000,000","17,836,000,000","20,816,000,000","16,887,000,000","16,747,000,000","15,979,000,000","16,677,000,000","28,516,000,000","12,607,000,000","12,026,000,000","26,328,000,000","10,557,000,000","8,046,000,000","7,329,000,000","16,678,000,000","6,566,000,000","6,092,000,000","5,072,000,000","11,308,000,000","5,440,000,000","4,920,000,000","4,772,000,000","11,224,000,000","4,373,000,000","4,125,000,000","3,945,000,000","9,534,000,000","3,057,000,000","2,861,000,000","2,516,000,000","7,634,000,000","2,392,000,000","2,035,000,000","1,813,000,000","5,142,000,000","1,496,000,000","1,438,000,000","1,304,000,000","1,587,000,000","959,000,000","805,000,000","815,000,000","988,000,000","1,342,000,000","1,168,000,000","1,174,000,000","1,654,000,000","597,000,000","586,000,000","581,000,000","1,410,000,000","474,000,000","384,000,000","358,000,000","798,000,000","281,000,000","225,000,000","228,000,000","548,000,000","188,000,000","155,000,000","171,000,000","398,000,000","150,764,000","125,647,000","125,883,000","131,473,000","103,873,000","84,375,000","88,914,000","112,282,000",,,,"67,613,000",,,,,,,,,,,,,,,,,,,,
"				GrossAccountsReceivable","53,953,000,000",,"41,425,000,000","39,046,000,000","43,760,000,000",,"36,004,000,000",,"33,991,000,000",,,,"25,642,000,000","21,800,000,000",,,"21,534,000,000",,,,"17,172,000,000","14,715,000,000",,,"13,512,000,000",,,,"8,576,000,000",,,,"5,843,000,000",,,,"5,802,000,000",,,,"4,920,000,000",,,,"3,933,000,000",,,,"2,653,000,000",,,,,,,,"1,060,000,000","755,000,000","672,000,000","673,000,000","908,000,000",,,,"769,000,000",,,,"439,000,000",,,,"317,000,000",,,,"222,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
