name,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalAssets,"402,392,000,000","396,711,000,000","383,044,000,000","369,491,000,000","365,264,000,000","358,255,000,000","355,185,000,000","357,096,000,000","359,268,000,000","347,403,000,000","335,387,000,000","327,095,000,000","319,616,000,000","299,243,000,000","278,492,000,000","273,403,000,000","275,909,000,000","263,044,000,000","257,101,000,000","245,349,000,000","232,792,000,000","221,538,000,000","211,610,000,000","206,935,000,000","197,295,000,000","189,536,000,000","178,621,000,000","172,756,000,000","167,497,000,000","159,948,000,000","154,292,000,000","149,747,000,000","147,461,000,000","144,281,000,000","138,807,000,000","133,400,000,000","129,187,000,000","125,781,000,000","121,608,000,000","116,526,000,000","110,920,000,000","105,068,000,000","101,182,000,000","96,692,000,000","93,798,000,000","89,730,000,000","86,051,000,000","77,144,000,000","72,574,000,000","69,088,000,000","64,861,000,000","59,960,000,000","57,851,000,000","53,342,000,000","48,045,000,000","42,871,000,000","40,497,000,000","37,702,845,000","35,158,760,000","33,513,029,000","31,767,575,000","30,806,974,000","29,179,786,000","27,604,982,000","25,335,806,000","23,340,650,000","21,423,885,000","20,015,438,000","18,473,351,000","15,693,232,000","14,396,006,000","11,294,870,000","10,271,813,000","9,451,001,000","4,497,718,000","3,865,199,000","3,313,351,000","2,888,518,000","1,328,022,000"
	CurrentAssets,"171,530,000,000","176,310,000,000","168,788,000,000","161,985,000,000","164,795,000,000","166,109,000,000","172,371,000,000","177,853,000,000","188,143,000,000","184,110,000,000","175,697,000,000","172,137,000,000","174,296,000,000","164,369,000,000","149,069,000,000","147,018,000,000","152,578,000,000","148,358,000,000","147,437,000,000","138,207,000,000","135,676,000,000","129,702,000,000","124,157,000,000","123,761,000,000","124,308,000,000","119,345,000,000","112,386,000,000","108,794,000,000","105,408,000,000","98,546,000,000","94,238,000,000","90,955,000,000","90,114,000,000","88,103,000,000","84,164,000,000","80,313,000,000","78,656,000,000","80,115,000,000","77,905,000,000","75,314,000,000","72,886,000,000","68,858,000,000","66,861,000,000","62,808,000,000","60,454,000,000","56,821,000,000","53,857,000,000","56,859,000,000","52,758,000,000","50,042,000,000","46,442,000,000","43,310,000,000","41,562,000,000","39,447,000,000","35,161,000,000","31,132,000,000","29,167,000,000","26,353,544,000","23,834,853,000","22,080,802,000","20,178,182,000","17,962,851,000","16,316,837,000","15,464,931,000","17,289,138,000","15,733,761,000","14,857,523,000","14,080,774,000","13,039,847,000","11,858,243,000","11,058,107,000","9,555,957,000","9,001,071,000","8,382,685,000","3,649,210,000","3,158,474,000","2,693,465,000","2,360,211,000","881,889,000"
		CashCashEquivalentsAndShortTermInvestments,"110,916,000,000","119,935,000,000","118,332,000,000","115,102,000,000","113,762,000,000","116,259,000,000","124,997,000,000","133,970,000,000","139,649,000,000","142,003,000,000","135,863,000,000","135,104,000,000","136,694,000,000","132,596,000,000","121,080,000,000","117,229,000,000","119,675,000,000","121,177,000,000","121,056,000,000","113,488,000,000","109,140,000,000","106,416,000,000","102,254,000,000","102,885,000,000","101,871,000,000","100,143,000,000","94,713,000,000","92,439,000,000","86,333,000,000","83,056,000,000","78,460,000,000","75,264,000,000","73,066,000,000","72,767,000,000","69,780,000,000","65,436,000,000","62,633,000,000","60,058,000,000","58,315,000,000","57,276,000,000","57,447,000,000","54,739,000,000","52,380,000,000","48,561,000,000","47,159,000,000","44,624,000,000","41,722,000,000","47,616,000,000","44,626,000,000","40,660,000,000","38,202,000,000","35,375,000,000","33,375,000,000","31,380,000,000","27,159,000,000","26,514,000,000","24,485,000,000","21,994,391,000","19,344,006,000","17,784,933,000","15,845,771,000","14,412,609,000","12,733,669,000","12,134,508,000","14,218,613,000","13,087,345,000","12,503,535,000","11,935,919,000","11,243,914,000","10,428,715,000","9,821,632,000","8,429,028,000","8,034,247,000","7,630,147,000","2,947,967,000","2,507,298,000","2,132,297,000","1,858,356,000","548,687,000"
			CashAndCashEquivalents,"24,048,000,000","30,702,000,000","25,929,000,000","25,924,000,000","21,879,000,000","21,984,000,000","17,936,000,000","20,886,000,000","20,945,000,000","23,719,000,000","23,630,000,000","26,622,000,000","26,465,000,000","20,129,000,000","17,742,000,000","19,644,000,000","18,498,000,000","16,032,000,000","16,587,000,000","19,148,000,000","16,701,000,000","13,443,000,000","14,148,000,000","12,658,000,000","10,715,000,000","10,581,000,000","15,711,000,000","18,132,000,000","12,918,000,000","9,406,000,000","13,627,000,000","15,111,000,000","16,549,000,000","18,068,000,000","18,453,000,000","16,976,000,000","16,585,000,000","13,506,000,000","16,731,000,000","14,536,000,000","17,628,000,000","13,458,000,000","14,112,000,000","13,838,000,000","13,849,000,000","15,160,000,000","14,037,000,000","21,408,000,000","9,983,000,000","8,730,000,000","9,404,000,000","11,115,000,000","12,030,000,000","9,257,000,000","7,813,000,000","9,192,000,000","10,198,000,000","12,087,115,000","11,911,351,000","10,426,291,000","8,656,672,000","8,370,469,000","7,363,536,000","6,519,749,000","6,081,593,000","5,106,404,000","4,493,652,000","4,081,340,000","3,544,671,000","3,038,341,000","4,015,922,000","2,935,179,000","3,877,174,000","5,518,569,000","753,472,000","482,572,000","426,873,000","344,469,000","254,698,000"
				CashFinancial,,"9,294,000,000","8,561,000,000","9,691,000,000",,,,,,,,,,,,,,,,,,,,,"7,158,000,000","7,078,000,000","7,385,000,000","7,217,000,000","7,078,000,000","5,882,000,000","5,561,000,000","7,388,000,000","7,380,000,000","10,986,000,000","12,391,000,000","10,929,000,000","9,863,000,000","9,311,000,000","10,087,000,000","9,212,000,000","9,909,000,000","7,822,000,000","9,451,000,000","8,051,000,000","8,066,000,000","6,224,000,000","7,463,000,000","11,239,000,000","4,712,000,000","4,209,000,000","4,347,000,000","5,040,000,000","4,652,000,000","4,046,000,000","2,293,000,000","3,570,000,000","4,303,000,000","3,689,596,000","3,564,341,000","4,070,597,000","3,330,658,000","3,559,448,000","3,469,814,000","2,775,402,000","2,869,528,000","1,020,678,000","2,829,184,000","2,712,325,000","1,579,702,000","2,393,133,000",,,,,,,,,
				CashEquivalents,,"21,408,000,000","17,368,000,000","16,233,000,000",,,,,,,,,,,,,,,,,,,,,"3,557,000,000","3,503,000,000","8,326,000,000","10,915,000,000","5,840,000,000","3,524,000,000","8,066,000,000","7,723,000,000","9,169,000,000","7,082,000,000","6,062,000,000","6,047,000,000","6,722,000,000","4,195,000,000","6,644,000,000","5,324,000,000","7,719,000,000","5,636,000,000","4,661,000,000","5,787,000,000","5,783,000,000","8,936,000,000","6,574,000,000","10,169,000,000","5,271,000,000","4,521,000,000","5,057,000,000","6,075,000,000","7,378,000,000","5,211,000,000","5,520,000,000","5,622,000,000","5,895,000,000","8,397,519,000","8,347,010,000","6,355,694,000","5,326,014,000","4,811,021,000","3,893,722,000","3,744,347,000","3,212,065,000","4,085,726,000","1,664,468,000","1,369,015,000","1,964,969,000","645,208,000",,,,,,,,,
			OtherShortTermInvestments,"86,868,000,000","89,233,000,000","92,403,000,000","89,178,000,000","91,883,000,000","94,275,000,000","107,061,000,000","113,084,000,000","118,704,000,000","118,284,000,000","112,233,000,000","108,482,000,000","110,229,000,000","112,467,000,000","103,338,000,000","97,585,000,000","101,177,000,000","105,145,000,000","104,469,000,000","94,340,000,000","92,439,000,000","92,973,000,000","88,106,000,000","90,227,000,000","91,156,000,000","89,562,000,000","79,002,000,000","74,307,000,000","73,415,000,000","73,650,000,000","64,833,000,000","60,153,000,000","56,517,000,000","54,699,000,000","51,327,000,000","48,460,000,000","46,048,000,000","46,552,000,000","41,584,000,000","42,740,000,000","39,819,000,000","41,281,000,000","38,268,000,000","34,723,000,000","33,310,000,000","29,464,000,000","27,685,000,000","26,208,000,000","34,643,000,000","31,930,000,000","28,798,000,000","24,260,000,000","21,345,000,000","22,123,000,000","19,346,000,000","17,322,000,000","14,287,000,000","9,907,276,000","7,432,655,000","7,358,642,000","7,189,099,000","6,042,140,000","5,370,133,000","5,614,759,000","8,137,020,000","7,980,941,000","8,009,883,000","7,854,579,000","7,699,243,000","7,390,374,000","5,805,710,000","5,493,849,000","4,157,073,000","2,111,578,000","2,194,495,000","2,024,726,000","1,705,424,000","1,513,887,000","293,989,000"
		Receivables,"47,964,000,000","41,020,000,000","38,804,000,000","36,036,000,000","40,258,000,000","36,176,000,000","37,073,000,000","35,622,000,000","39,304,000,000","34,800,000,000","32,851,000,000","28,499,000,000","31,384,000,000","25,513,000,000","21,595,000,000","23,735,000,000","27,492,000,000","21,081,000,000","21,317,000,000","19,260,000,000","21,193,000,000","18,067,000,000","17,244,000,000","16,814,000,000","18,705,000,000","15,577,000,000","14,877,000,000","12,969,000,000","14,232,000,000","12,395,000,000","12,762,000,000","12,972,000,000","13,909,000,000","10,436,000,000","10,019,000,000","10,310,000,000","10,849,000,000","10,019,000,000","9,539,000,000","8,421,000,000","9,390,000,000","8,592,000,000","8,163,000,000","8,670,000,000","8,585,000,000","7,809,000,000","7,341,000,000","5,713,000,000","6,172,000,000","5,861,000,000","5,843,000,000","4,818,000,000","5,002,000,000","4,719,000,000","3,617,000,000","3,084,000,000","3,201,000,000","2,879,604,000","2,847,755,000","2,543,105,000","2,642,192,000","2,541,492,000","2,641,901,000","2,560,909,000","2,307,774,000","1,887,860,000","1,648,680,000","1,477,090,000","1,322,340,000","1,031,055,000","885,088,000","844,378,000","687,976,000","541,815,000","492,004,000","441,932,000","382,345,000","348,127,000","236,234,000"
			AccountsReceivable,"47,964,000,000","41,020,000,000","38,804,000,000","36,036,000,000","40,258,000,000","34,697,000,000","35,707,000,000","34,703,000,000","39,304,000,000","34,047,000,000","31,967,000,000","28,006,000,000","30,930,000,000","24,925,000,000","21,201,000,000","21,825,000,000","25,326,000,000","20,889,000,000","20,965,000,000","19,149,000,000","20,838,000,000","17,897,000,000","17,043,000,000","16,777,000,000","18,336,000,000","15,295,000,000","14,003,000,000","12,913,000,000","14,137,000,000","11,979,000,000","11,686,000,000","10,818,000,000","11,556,000,000","9,749,000,000","9,394,000,000","8,584,000,000","9,383,000,000","8,237,000,000","8,321,000,000","7,827,000,000","8,882,000,000","7,921,000,000","7,321,000,000","7,612,000,000","7,885,000,000","7,259,000,000","6,866,000,000","5,163,000,000","5,427,000,000","4,583,000,000","4,476,000,000","4,216,000,000","4,252,000,000","3,616,000,000","3,308,000,000","3,084,000,000","3,178,000,000","2,807,341,000","2,701,912,000","2,543,105,000","2,642,192,000","2,541,492,000","2,641,901,000","2,560,909,000","2,162,521,000","1,887,860,000","1,648,680,000","1,477,090,000","1,322,340,000","1,031,055,000","885,088,000","844,378,000","687,976,000","541,815,000","419,238,000","371,905,000","311,836,000","233,057,000","191,187,000"
				GrossAccountsReceivable,"48,735,000,000","41,852,000,000","39,640,000,000","36,779,000,000","41,012,000,000","35,428,000,000","36,341,000,000","35,281,000,000","39,854,000,000","34,614,000,000","32,546,000,000","28,725,000,000","31,719,000,000","25,759,000,000","21,989,000,000","22,542,000,000","26,055,000,000","21,532,000,000","21,686,000,000","19,910,000,000","21,567,000,000","18,549,000,000","17,673,000,000","17,313,000,000","19,010,000,000","15,920,000,000","14,549,000,000","13,402,000,000","14,604,000,000","12,377,000,000","11,980,000,000","11,094,000,000","11,852,000,000","10,040,000,000","9,629,000,000","8,784,000,000","9,608,000,000","8,467,000,000","8,590,000,000","8,089,000,000","9,513,000,000","8,407,000,000","7,826,000,000","8,145,000,000","8,466,000,000","7,819,000,000","7,053,000,000","5,310,000,000","5,560,000,000","4,728,000,000","4,616,000,000","4,349,000,000","4,353,000,000","3,681,000,000","3,364,000,000","3,146,000,000","3,257,000,000","2,896,978,000","2,794,937,000","2,655,616,000","2,722,278,000","2,616,751,000","2,709,227,000","2,611,187,000","2,195,408,000","1,925,990,000","1,675,427,000","1,495,652,000","1,339,254,000","1,051,925,000",,,,,,,"315,798,000",,
