name,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
TotalAssets,"229,623,000,000","216,274,000,000","206,688,000,000","184,491,000,000","185,727,000,000","178,894,000,000","169,779,000,000","164,218,000,000","165,987,000,000","169,585,000,000","170,609,000,000","163,523,000,000","159,316,000,000","146,437,000,000","139,691,000,000","138,371,000,000","133,376,000,000","124,418,000,000","117,006,000,000","109,477,000,000","97,334,000,000","92,452,000,000","90,291,000,000","88,945,000,000","84,524,000,000","78,998,000,000","73,843,000,000","68,714,000,000","64,961,000,000","59,674,000,000","55,739,000,000","52,075,000,000","49,407,000,000","46,469,000,000","44,130,000,000","42,007,000,000","39,966,000,000","24,188,000,000","20,769,000,000","19,028,000,000","17,895,000,000","14,933,000,000","15,724,000,000","15,163,000,000","15,103,000,000","16,038,000,000","14,928,000,000","7,184,000,000","6,331,000,000"
	CurrentAssets,"85,365,000,000","78,378,000,000","69,560,000,000","52,483,000,000","59,549,000,000","58,315,000,000","55,987,000,000","59,265,000,000","66,666,000,000","75,421,000,000","80,697,000,000","77,322,000,000","75,670,000,000","65,799,000,000","68,130,000,000","69,349,000,000","66,225,000,000","62,079,000,000","57,961,000,000","53,300,000,000","50,480,000,000","49,147,000,000","49,833,000,000","50,412,000,000","48,563,000,000","44,203,000,000","40,804,000,000","36,930,000,000","34,401,000,000","30,328,000,000","27,010,000,000","23,812,000,000","21,652,000,000","19,139,000,000","16,951,000,000","15,004,000,000","13,390,000,000","16,115,000,000","15,557,000,000","14,060,000,000","13,070,000,000","10,549,000,000","11,421,000,000","11,042,000,000","11,267,000,000","12,285,000,000","11,967,000,000","5,019,000,000","4,604,000,000"
		CashCashEquivalentsAndShortTermInvestments,"65,403,000,000","61,123,000,000","53,446,000,000","37,439,000,000","40,738,000,000","41,776,000,000","40,489,000,000","43,890,000,000","47,998,000,000","58,075,000,000","64,080,000,000","64,219,000,000","61,954,000,000","55,620,000,000","58,240,000,000","60,289,000,000","54,855,000,000","52,269,000,000","48,596,000,000","45,243,000,000","41,114,000,000","41,206,000,000","42,309,000,000","43,956,000,000","41,711,000,000","38,289,000,000","35,452,000,000","32,306,000,000","29,449,000,000","26,140,000,000","23,293,000,000","20,621,000,000","18,434,000,000","15,834,000,000","14,125,000,000","12,413,000,000","11,199,000,000","14,250,000,000","13,956,000,000","12,629,000,000","11,449,000,000","9,328,000,000","10,252,000,000","9,472,000,000","9,626,000,000","10,452,000,000","10,188,000,000","3,910,000,000","3,908,000,000"
			CashAndCashEquivalents,"41,862,000,000","36,890,000,000","28,785,000,000","11,551,000,000","14,681,000,000","14,308,000,000","12,681,000,000","14,886,000,000","16,601,000,000","14,496,000,000","16,186,000,000","19,513,000,000","17,576,000,000","11,617,000,000","21,045,000,000","23,618,000,000","19,079,000,000","15,979,000,000","13,877,000,000","11,076,000,000","10,019,000,000","9,637,000,000","11,552,000,000","12,082,000,000","8,079,000,000","7,201,000,000","6,252,000,000","7,104,000,000","8,903,000,000","6,038,000,000","5,108,000,000","6,456,000,000","4,907,000,000","4,308,000,000","5,123,000,000","3,419,000,000","4,315,000,000","8,999,000,000","4,384,000,000","2,998,000,000","3,323,000,000","3,100,000,000","3,001,000,000","2,325,000,000","2,384,000,000","2,478,000,000","2,098,000,000","1,282,000,000","1,512,000,000"
				CashFinancial,"6,265,000,000","5,333,000,000","6,122,000,000","5,680,000,000","6,176,000,000","6,160,000,000","6,322,000,000","7,090,000,000","7,308,000,000","6,159,000,000","6,132,000,000","6,391,000,000","6,488,000,000","5,501,000,000","5,938,000,000","4,657,000,000","4,735,000,000","3,871,000,000","3,380,000,000","3,459,000,000","2,713,000,000","2,764,000,000","2,117,000,000","2,728,000,000","2,212,000,000","1,629,000,000","1,452,000,000","1,427,000,000","1,364,000,000","1,953,000,000","1,959,000,000","2,004,000,000","1,703,000,000","2,687,000,000","2,300,000,000","2,644,000,000","2,162,000,000","1,344,000,000","1,354,000,000","1,122,000,000","1,044,000,000","898,000,000","1,020,000,000","1,166,000,000","1,513,000,000",,,,"510,000,000"
				CashEquivalents,"35,597,000,000","31,557,000,000","22,663,000,000","5,871,000,000","8,505,000,000","8,148,000,000","6,359,000,000","7,796,000,000","9,293,000,000","8,337,000,000","10,054,000,000","13,122,000,000","11,088,000,000","6,116,000,000","15,107,000,000","18,961,000,000","14,344,000,000","12,108,000,000","10,497,000,000","7,617,000,000","7,306,000,000","6,873,000,000","9,435,000,000","9,354,000,000","5,867,000,000","5,572,000,000","4,800,000,000","5,677,000,000","7,539,000,000","4,085,000,000","3,149,000,000","4,452,000,000","3,204,000,000","1,621,000,000","2,823,000,000","775,000,000","2,153,000,000","7,655,000,000","3,030,000,000","1,876,000,000","2,279,000,000","2,202,000,000","1,981,000,000","1,159,000,000","871,000,000",,,,"1,002,000,000"
			OtherShortTermInvestments,"23,541,000,000","24,233,000,000","24,661,000,000","25,888,000,000","26,057,000,000","27,468,000,000","27,808,000,000","29,004,000,000","31,397,000,000","43,579,000,000","47,894,000,000","44,706,000,000","44,378,000,000","44,003,000,000","37,195,000,000","36,671,000,000","35,776,000,000","36,290,000,000","34,719,000,000","34,167,000,000","31,095,000,000","31,569,000,000","30,757,000,000","31,874,000,000","33,632,000,000","31,088,000,000","29,200,000,000","25,202,000,000","20,546,000,000","20,102,000,000","18,185,000,000","14,165,000,000","13,527,000,000","11,526,000,000","9,002,000,000","8,994,000,000","6,884,000,000","5,251,000,000","9,572,000,000","9,631,000,000","8,126,000,000","6,228,000,000","7,251,000,000","7,147,000,000","7,242,000,000","7,974,000,000","8,090,000,000","2,628,000,000","2,396,000,000"
		Receivables,"16,169,000,000","12,944,000,000","12,511,000,000","11,044,000,000","13,466,000,000","11,227,000,000","11,525,000,000","11,390,000,000","14,039,000,000","12,088,000,000","11,698,000,000","10,276,000,000","11,335,000,000","8,024,000,000","7,483,000,000","7,289,000,000","9,518,000,000","7,673,000,000","7,513,000,000","6,475,000,000","7,587,000,000","6,058,000,000","5,590,000,000","5,115,000,000","5,832,000,000","4,424,000,000","3,897,000,000","3,415,000,000","3,993,000,000","3,070,000,000","2,801,000,000","2,348,000,000","2,559,000,000","2,010,000,000","1,815,000,000","1,508,000,000","1,678,000,000","1,363,000,000","1,190,000,000","1,006,000,000","1,109,000,000","879,000,000","782,000,000","1,085,000,000","1,170,000,000","1,202,000,000","1,145,000,000","482,000,000","547,000,000"
			AccountsReceivable,"16,169,000,000","12,944,000,000","12,511,000,000","11,044,000,000","13,466,000,000","11,227,000,000","11,525,000,000","11,390,000,000","14,039,000,000","12,088,000,000","11,698,000,000","10,276,000,000","11,335,000,000","8,024,000,000","7,483,000,000","7,289,000,000","9,518,000,000","7,673,000,000","7,513,000,000","6,475,000,000","7,587,000,000","6,058,000,000","5,590,000,000","5,115,000,000","5,832,000,000","4,424,000,000","3,897,000,000","3,415,000,000","3,993,000,000","3,070,000,000","2,801,000,000","2,348,000,000","2,559,000,000","2,010,000,000","1,815,000,000","1,508,000,000","1,678,000,000","1,363,000,000","1,190,000,000","1,006,000,000","1,109,000,000","872,000,000","775,000,000","659,000,000","719,000,000","635,000,000","578,000,000","482,000,000","547,000,000"
				GrossAccountsReceivable,,,,,,,,,,"12,198,000,000","11,806,000,000","10,387,000,000","11,449,000,000","8,335,000,000","7,848,000,000","7,659,000,000","9,610,000,000","7,974,000,000","7,808,000,000","6,691,000,000","7,816,000,000","6,265,000,000","5,788,000,000","5,319,000,000","6,021,000,000","4,527,000,000","3,987,000,000","3,501,000,000","4,087,000,000","3,153,000,000","2,868,000,000","2,411,000,000","2,627,000,000","2,065,000,000","1,862,000,000","1,550,000,000","1,717,000,000","1,398,000,000","1,223,000,000","1,037,000,000","1,147,000,000","903,000,000","801,000,000",,"741,000,000","653,000,000","595,000,000","498,000,000","564,000,000"
