name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
OperatingCashFlow,"71,113,000,000","19,404,000,000","20,402,000,000","17,309,000,000","13,998,000,000","14,511,000,000","9,692,000,000","12,196,000,000","14,076,000,000","18,104,000,000","14,090,000,000","13,247,000,000","12,242,000,000","14,040,000,000","9,829,000,000","3,877,000,000","11,001,000,000","9,083,000,000","9,307,000,000","8,616,000,000","9,308,000,000","7,618,000,000","7,498,000,000","6,298,000,000","7,860,000,000","7,671,000,000","6,127,000,000","5,360,000,000","5,058,000,000","6,350,000,000","4,036,000,000","3,665,000,000","3,477,000,000","2,827,000,000","2,192,000,000","1,880,000,000","1,700,000,000","1,583,000,000","1,248,000,000","1,341,000,000","1,285,000,000","1,231,000,000","950,000,000","1,322,000,000","719,000,000","681,000,000","250,000,000","240,000,000","441,000,000","510,000,000","565,000,000","129,000,000","345,000,000"
	CashFlowFromContinuingOperatingActivities,"71,113,000,000","19,404,000,000","20,402,000,000","17,309,000,000","13,998,000,000","14,511,000,000","9,692,000,000","12,196,000,000","14,076,000,000","18,104,000,000","14,090,000,000","13,247,000,000","12,242,000,000","14,040,000,000","9,829,000,000","3,877,000,000","11,001,000,000","9,083,000,000","9,307,000,000","8,616,000,000","9,308,000,000","7,618,000,000","7,498,000,000","6,298,000,000","7,860,000,000","7,671,000,000","6,127,000,000","5,360,000,000","5,058,000,000","6,350,000,000","4,036,000,000","3,665,000,000","3,477,000,000","2,827,000,000","2,192,000,000","1,880,000,000","1,700,000,000","1,583,000,000","1,248,000,000","1,341,000,000","1,285,000,000","1,231,000,000","950,000,000","1,322,000,000","719,000,000","681,000,000","250,000,000","240,000,000","441,000,000","510,000,000","565,000,000","129,000,000","345,000,000"
		NetIncomeFromContinuingOperations,"39,098,000,000","14,017,000,000","11,583,000,000","7,789,000,000","5,709,000,000","4,653,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,193,000,000","10,395,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,179,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,105,000,000","4,988,000,000","4,269,000,000","4,706,000,000","3,895,000,000","3,064,000,000","4,273,000,000","2,627,000,000","2,283,000,000","1,738,000,000","1,561,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000",,"227,000,000",,
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,,,"1,000,000"
		DepreciationAmortizationDepletion,"11,178,000,000","3,172,000,000","2,859,000,000","2,623,000,000","2,524,000,000","2,376,000,000","2,175,000,000","1,979,000,000","2,156,000,000","2,014,000,000","1,995,000,000","1,986,000,000","1,972,000,000","1,863,000,000","1,698,000,000","1,704,000,000","1,597,000,000","1,468,000,000","1,416,000,000","1,502,000,000","1,355,000,000","1,225,000,000","1,107,000,000","1,034,000,000","949,000,000","853,000,000","772,000,000","729,000,000","671,000,000","614,000,000","591,000,000","585,000,000","552,000,000","543,000,000","486,000,000","459,000,000","457,000,000","433,000,000","289,000,000","257,000,000","264,000,000","274,000,000","274,000,000","230,000,000","233,000,000","224,000,000","176,000,000","139,000,000","110,000,000","103,000,000","97,000,000","72,000,000","51,000,000"
			DepreciationAndAmortization,"11,178,000,000","3,172,000,000","2,859,000,000","2,623,000,000","2,524,000,000","2,376,000,000","2,175,000,000","1,979,000,000","2,156,000,000","2,014,000,000","1,995,000,000","1,986,000,000","1,972,000,000","1,863,000,000","1,698,000,000","1,704,000,000","1,597,000,000","1,468,000,000","1,416,000,000","1,502,000,000","1,355,000,000","1,225,000,000","1,107,000,000","1,034,000,000","949,000,000","853,000,000","772,000,000","729,000,000","671,000,000","614,000,000","591,000,000","585,000,000","552,000,000","543,000,000","486,000,000","459,000,000","457,000,000","433,000,000","289,000,000","257,000,000","264,000,000","274,000,000","274,000,000","230,000,000","233,000,000","224,000,000","176,000,000","139,000,000","110,000,000","103,000,000","97,000,000","72,000,000","51,000,000"
		DeferredTax,"131,000,000","-1,161,000,000","3,049,000,000","-1,137,000,000","-620,000,000","-1,173,000,000","-1,097,000,000","-453,000,000","-563,000,000","748,000,000","-786,000,000","229,000,000","418,000,000","-376,000,000","-1,506,000,000","213,000,000","477,000,000","-395,000,000","174,000,000","1,000,000","183,000,000","203,000,000","29,000,000","101,000,000","-47,000,000","-225,000,000","-94,000,000","26,000,000","-84,000,000","-334,000,000","-23,000,000","-101,000,000","-77,000,000","-123,000,000","-383,000,000","-66,000,000","-223,000,000","-180,000,000","4,000,000","-33,000,000","-1,000,000","-58,000,000","2,000,000","26,000,000","-7,000,000","-606,000,000","-60,000,000","-350,000,000","-24,000,000","57,000,000","35,000,000","272,000,000","69,000,000"
			DeferredIncomeTax,"131,000,000","-1,161,000,000","3,049,000,000","-1,137,000,000","-620,000,000","-1,173,000,000","-1,097,000,000","-453,000,000","-563,000,000","748,000,000","-786,000,000","229,000,000","418,000,000","-376,000,000","-1,506,000,000","213,000,000","477,000,000","-395,000,000","174,000,000","1,000,000","183,000,000","203,000,000","29,000,000","101,000,000","-47,000,000","-225,000,000","-94,000,000","26,000,000","-84,000,000","-334,000,000","-23,000,000","-101,000,000","-77,000,000","-123,000,000","-383,000,000","-66,000,000","-223,000,000","-180,000,000","4,000,000","-33,000,000","-1,000,000","-58,000,000","2,000,000","26,000,000","-7,000,000","-606,000,000","-60,000,000","-350,000,000","-24,000,000","57,000,000","35,000,000","272,000,000","69,000,000"
		AssetImpairmentCharge,"2,432,000,000","1,090,000,000","340,000,000","232,000,000","770,000,000","1,805,000,000","413,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,000,000","19,000,000","11,000,000","9,000,000","7,000,000","4,000,000","3,000,000","1,000,000",,"0",,
		StockBasedCompensation,"14,027,000,000","3,424,000,000","3,492,000,000","4,060,000,000","3,051,000,000","3,008,000,000","3,134,000,000","3,352,000,000","2,498,000,000","2,407,000,000","2,378,000,000","2,549,000,000","1,830,000,000","1,784,000,000","1,722,000,000","1,695,000,000","1,335,000,000","1,274,000,000","1,249,000,000","1,303,000,000","1,010,000,000","972,000,000","1,039,000,000","1,186,000,000","955,000,000","814,000,000","1,010,000,000","1,032,000,000","867,000,000","847,000,000","824,000,000","817,000,000","746,000,000","746,000,000","757,000,000","763,000,000","694,000,000","845,000,000","353,000,000","314,000,000","274,000,000","273,000,000","239,000,000","224,000,000","170,000,000","184,000,000","179,000,000","1,106,000,000","103,000,000","76,000,000","70,000,000","64,000,000","7,000,000"
