name,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"470,558,000,000","445,785,000,000","411,976,000,000","380,088,000,000","364,552,000,000","359,784,000,000","364,840,000,000","344,607,000,000","340,389,000,000","335,418,000,000","333,779,000,000","308,879,000,000","304,137,000,000","301,001,000,000","301,311,000,000","285,449,000,000","282,794,000,000","278,955,000,000","286,556,000,000","263,281,000,000","258,859,000,000","257,619,000,000","258,848,000,000","245,497,000,000","256,003,000,000","249,097,000,000","250,312,000,000","225,017,000,000","224,610,000,000","212,524,000,000","193,468,000,000","181,869,000,000","180,098,000,000","172,896,000,000","174,472,000,000","176,683,000,000","174,848,000,000","169,656,000,000","172,384,000,000","156,119,000,000","153,543,000,000","142,348,000,000","142,431,000,000","134,105,000,000","128,683,000,000","121,876,000,000","121,271,000,000","118,010,000,000","112,243,000,000","107,415,000,000","108,704,000,000","99,727,000,000","92,306,000,000","91,540,000,000","86,113,000,000","84,910,000,000","82,096,000,000","81,612,000,000","77,888,000,000","68,853,000,000","65,786,000,000","65,117,000,000","72,793,000,000","70,747,000,000","67,339,000,000","65,645,000,000","63,171,000,000","63,891,000,000","66,371,000,000","65,354,000,000","69,597,000,000","66,854,000,000","67,257,000,000","71,462,000,000","70,815,000,000","66,275,000,000","64,941,000,000","94,268,000,000","94,368,000,000","89,767,000,000","85,937,000,000","84,281,000,000","81,732,000,000","74,482,000,000","72,359,000,000","70,235,000,000","67,646,000,000","68,379,000,000","65,387,000,000","61,367,000,000","58,830,000,000","59,605,000,000","57,691,000,000","56,089,000,000","52,150,000,000","50,895,000,000","45,093,000,000","39,672,000,000","38,625,000,000","33,561,000,000","30,049,000,000","25,569,000,000","22,357,000,000","19,545,000,000","16,840,000,000","15,366,000,000","14,387,000,000","12,613,000,000","12,786,000,000","10,740,000,000","10,093,000,000","9,590,000,000","9,106,000,000","8,160,000,000","7,210,000,000","6,592,000,000","5,961,000,000","5,637,000,000","5,363,000,000","4,926,000,000","4,486,000,000","4,048,000,000","3,805,000,000","3,560,000,000","3,226,000,000","2,849,000,000","2,639,900,000","2,340,000,000","2,128,400,000","1,870,200,000","1,644,200,000","1,502,400,000","1,366,000,000","1,203,500,000","1,105,300,000","1,015,300,000","921,800,000","809,200,000","720,600,000","493,000,000","287,800,000","170,700,000"
	CurrentAssets,"147,393,000,000","207,586,000,000","184,257,000,000","163,889,000,000","157,823,000,000","160,812,000,000","169,684,000,000","153,922,000,000","174,188,000,000","174,326,000,000","184,406,000,000","165,614,000,000","173,973,000,000","177,077,000,000","181,915,000,000","170,505,000,000","167,074,000,000","165,896,000,000","175,552,000,000","159,887,000,000","156,874,000,000","164,195,000,000","169,662,000,000","156,659,000,000","167,633,000,000","161,031,000,000","162,696,000,000","146,313,000,000","144,949,000,000","157,909,000,000","139,660,000,000","128,421,000,000","127,812,000,000","121,656,000,000","122,797,000,000","118,398,000,000","116,362,000,000","112,439,000,000","114,246,000,000","109,006,000,000","106,870,000,000","99,450,000,000","101,466,000,000","93,524,000,000","89,574,000,000","84,051,000,000","85,084,000,000","76,860,000,000","72,513,000,000","75,271,000,000","74,918,000,000","66,263,000,000","59,684,000,000","59,581,000,000","55,676,000,000","54,518,000,000","52,487,000,000","52,231,000,000","49,280,000,000","40,724,000,000","37,730,000,000","37,202,000,000","43,242,000,000","41,489,000,000","37,775,000,000","35,853,000,000","40,168,000,000","42,783,000,000","45,180,000,000","45,358,000,000","49,010,000,000","46,628,000,000","46,694,000,000","49,831,000,000","48,737,000,000","46,593,000,000","44,399,000,000","72,896,000,000","70,566,000,000","65,270,000,000","62,400,000,000","60,910,000,000","58,973,000,000","54,672,000,000","52,931,000,000","50,043,000,000","48,576,000,000","47,827,000,000","47,988,000,000","44,332,000,000","39,210,000,000","37,789,000,000","35,016,000,000","31,393,000,000","30,308,000,000","25,217,000,000","22,020,000,000","21,963,000,000","21,702,000,000","24,058,000,000","21,809,000,000","18,964,000,000","15,889,000,000","13,735,000,000","11,636,000,000","10,838,000,000","10,373,000,000","10,224,000,000","10,442,000,000","8,232,000,000","7,839,000,000","7,696,000,000","7,103,000,000","6,417,000,000","5,620,000,000","5,287,000,000","4,696,000,000","4,554,000,000","4,312,000,000","3,912,000,000","3,482,000,000","3,073,000,000","2,850,000,000","2,646,000,000","2,340,000,000","1,961,000,000","1,769,700,000","1,533,000,000","1,351,600,000","1,201,200,000","1,028,500,000","929,000,000","877,300,000","770,800,000","719,900,000","679,500,000","612,800,000","526,800,000","468,900,000","345,300,000","213,000,000","148,000,000"
		CashCashEquivalentsAndShortTermInvestments,"80,982,000,000","143,945,000,000","111,256,000,000","104,419,000,000","99,495,000,000","107,244,000,000","104,749,000,000","104,660,000,000","125,348,000,000","130,584,000,000","130,256,000,000","125,407,000,000","131,968,000,000","137,977,000,000","136,527,000,000","137,626,000,000","134,253,000,000","136,636,000,000","133,819,000,000","131,618,000,000","127,662,000,000","135,880,000,000","133,768,000,000","132,270,000,000","142,780,000,000","138,471,000,000","132,981,000,000","126,018,000,000","122,781,000,000","136,932,000,000","113,240,000,000","105,552,000,000","102,640,000,000","99,355,000,000","96,526,000,000","95,438,000,000","90,249,000,000","89,193,000,000","85,709,000,000","88,425,000,000","83,944,000,000","80,672,000,000","77,022,000,000","74,483,000,000","68,312,000,000","66,644,000,000","63,040,000,000","59,529,000,000","51,736,000,000","57,403,000,000","52,772,000,000","50,150,000,000","41,252,000,000","44,173,000,000","36,788,000,000","39,666,000,000","36,099,000,000","36,728,000,000","31,447,000,000","25,340,000,000","20,715,000,000","20,722,000,000","23,662,000,000","26,341,000,000","21,076,000,000","21,574,000,000","23,411,000,000","28,236,000,000","28,873,000,000","31,832,000,000","34,161,000,000","34,816,000,000","34,701,000,000","40,056,000,000","37,751,000,000","37,594,000,000","34,504,000,000","64,415,000,000","60,592,000,000","56,407,000,000","52,777,000,000","51,622,000,000","49,048,000,000","46,178,000,000","43,424,000,000","40,475,000,000","38,652,000,000","38,693,000,000","38,229,000,000","36,163,000,000","31,600,000,000","30,018,000,000","26,889,000,000","24,711,000,000","23,798,000,000","21,205,000,000","17,843,000,000","18,902,000,000","17,236,000,000","6,203,000,000","6,113,000,000","5,191,000,000","3,839,000,000","4,110,000,000","2,582,000,000","3,945,000,000","3,706,000,000","3,852,000,000","3,096,000,000","3,018,000,000","2,601,000,000","2,937,000,000","2,323,000,000","1,906,000,000","1,962,000,000","1,205,000,000","917,000,000","1,326,000,000","1,477,000,000","1,152,000,000","951,000,000","843,000,000","1,013,000,000","855,000,000","840,000,000","813,000,000","791,400,000","632,400,000","613,600,000","486,900,000","417,200,000","396,800,000","334,200,000","354,300,000","246,300,000","258,900,000","231,300,000","209,500,000","192,400,000","183,200,000","132,500,000","102,700,000"
			CashAndCashEquivalents,"17,305,000,000","80,452,000,000","34,704,000,000","26,562,000,000","15,646,000,000","22,884,000,000","13,931,000,000","12,498,000,000","20,604,000,000","19,165,000,000","14,224,000,000","13,702,000,000","14,432,000,000","17,205,000,000","13,576,000,000","11,710,000,000","8,864,000,000","13,117,000,000","11,356,000,000","11,212,000,000","6,638,000,000","15,137,000,000","11,946,000,000","9,221,000,000","12,859,000,000","6,884,000,000","7,663,000,000","6,713,000,000","8,468,000,000","13,928,000,000","6,510,000,000","7,170,000,000","7,185,000,000","5,431,000,000","5,595,000,000","7,414,000,000","6,426,000,000","6,302,000,000","8,669,000,000","11,572,000,000","10,059,000,000","4,023,000,000","3,804,000,000","5,240,000,000","6,017,000,000","5,036,000,000","6,938,000,000","6,388,000,000","10,610,000,000","12,881,000,000","9,610,000,000","7,021,000,000","4,023,000,000","8,161,000,000","5,505,000,000","8,155,000,000","9,422,000,000","8,823,000,000","6,076,000,000","7,285,000,000","8,346,000,000","9,004,000,000","10,339,000,000","11,820,000,000","7,460,000,000","6,637,000,000","6,111,000,000","7,611,000,000","6,859,000,000","9,076,000,000","6,714,000,000","4,351,000,000","4,083,000,000","2,974,000,000","4,851,000,000","3,782,000,000","4,556,000,000","11,141,000,000","14,304,000,000","9,348,000,000","6,149,000,000","5,768,000,000","6,438,000,000","4,300,000,000","5,552,000,000","5,338,000,000","3,016,000,000","5,116,000,000","5,256,000,000","3,113,000,000","3,922,000,000","4,149,000,000","3,531,000,000","2,641,000,000","4,846,000,000","5,192,000,000","4,719,000,000","4,789,000,000","4,975,000,000","6,203,000,000","6,113,000,000","5,191,000,000","3,839,000,000","4,110,000,000","2,582,000,000","3,945,000,000","3,706,000,000","3,852,000,000","3,096,000,000","3,018,000,000","2,601,000,000","2,937,000,000","2,323,000,000","1,906,000,000","1,962,000,000","1,205,000,000","917,000,000","1,326,000,000","1,477,000,000","1,152,000,000","951,000,000","843,000,000","1,013,000,000","855,000,000","840,000,000","813,000,000","791,400,000","632,400,000","613,600,000","486,900,000","417,200,000","396,800,000","334,200,000","354,300,000","246,300,000","258,900,000","231,300,000","209,500,000","192,400,000","183,200,000","132,500,000","102,700,000"
				CashFinancial,"9,536,000,000","7,378,000,000","8,478,000,000","8,509,000,000","7,304,000,000","7,237,000,000","8,258,000,000","7,456,000,000","6,255,000,000","6,863,000,000","7,272,000,000",,,,"5,910,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,811,000,000",,,,,,"2,064,000,000",,,,"3,274,000,000",,,,"3,040,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"7,769,000,000","73,074,000,000","26,226,000,000","18,053,000,000","8,342,000,000","15,647,000,000","5,673,000,000","5,042,000,000","14,349,000,000","12,302,000,000","6,952,000,000",,,,"7,666,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,212,000,000",,,,,,"4,012,000,000",,,,"7,065,000,000",,,,"3,071,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"63,677,000,000","63,493,000,000","76,552,000,000","77,857,000,000","83,849,000,000","84,360,000,000","90,818,000,000","92,162,000,000","104,744,000,000","111,419,000,000","116,032,000,000","111,705,000,000","117,536,000,000","120,772,000,000","122,951,000,000","125,916,000,000","125,389,000,000","123,519,000,000","122,463,000,000","120,406,000,000","121,024,000,000","120,743,000,000","121,822,000,000","123,049,000,000","129,921,000,000","131,587,000,000","125,318,000,000","119,305,000,000","114,313,000,000","123,004,000,000","106,730,000,000","98,382,000,000","95,455,000,000","93,924,000,000","90,931,000,000","88,024,000,000","83,823,000,000","82,891,000,000","77,040,000,000","76,853,000,000","73,885,000,000","76,649,000,000","73,218,000,000","69,243,000,000","62,295,000,000","61,608,000,000","56,102,000,000","53,141,000,000","41,126,000,000","44,522,000,000","43,162,000,000","43,129,000,000","37,229,000,000","36,012,000,000","31,283,000,000","31,511,000,000","26,677,000,000","27,905,000,000","25,371,000,000","18,055,000,000","12,369,000,000","11,718,000,000","13,323,000,000","14,521,000,000","13,616,000,000","14,937,000,000","17,300,000,000","20,625,000,000","22,014,000,000","22,756,000,000","27,447,000,000","30,465,000,000","30,618,000,000","37,082,000,000","32,900,000,000","33,812,000,000","29,948,000,000","53,274,000,000","46,288,000,000","47,059,000,000","46,628,000,000","45,854,000,000","42,610,000,000","41,878,000,000","37,872,000,000","35,137,000,000","35,636,000,000","33,577,000,000","32,973,000,000","33,050,000,000","27,678,000,000","25,869,000,000","23,358,000,000","22,070,000,000","18,952,000,000","16,013,000,000","13,124,000,000","14,113,000,000","12,261,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"42,831,000,000","36,953,000,000","48,688,000,000","37,420,000,000","35,833,000,000","31,279,000,000","44,261,000,000","32,613,000,000","33,520,000,000","27,349,000,000","38,043,000,000","26,322,000,000","27,312,000,000","22,851,000,000","32,011,000,000","22,699,000,000","23,525,000,000","19,087,000,000","29,524,000,000","19,269,000,000","19,680,000,000","17,390,000,000","26,481,000,000","17,208,000,000","18,428,000,000","14,561,000,000","22,431,000,000","12,882,000,000","14,343,000,000","11,129,000,000","18,277,000,000","12,247,000,000","14,507,000,000","11,444,000,000","17,908,000,000","12,427,000,000","16,186,000,000","12,887,000,000","19,544,000,000","13,497,000,000","15,986,000,000","11,007,000,000","17,486,000,000","11,991,000,000","14,317,000,000","9,871,000,000","15,780,000,000","10,961,000,000","13,643,000,000","10,153,000,000","14,987,000,000","10,033,000,000","12,874,000,000","9,646,000,000","13,014,000,000","9,137,000,000","11,196,000,000","8,587,000,000","11,192,000,000","9,182,000,000","10,953,000,000","9,535,000,000","13,589,000,000","9,871,000,000","11,621,000,000","8,982,000,000","11,338,000,000","8,454,000,000","9,895,000,000","6,879,000,000","9,316,000,000","6,818,000,000","7,758,000,000","5,799,000,000","7,180,000,000","5,610,000,000","6,646,000,000","5,106,000,000","5,890,000,000","4,937,000,000","5,608,000,000","4,533,000,000","5,196,000,000","4,075,000,000","4,894,000,000","4,450,000,000","5,129,000,000","4,230,000,000","5,095,000,000","3,615,000,000","3,671,000,000","3,532,000,000","4,143,000,000","3,172,000,000","3,250,000,000","2,902,000,000","3,284,000,000","2,207,000,000","2,245,000,000","1,689,000,000","2,029,000,000","1,153,000,000","1,460,000,000","1,055,000,000","1,081,000,000","788,000,000","980,000,000","866,000,000","975,000,000","855,000,000","639,000,000","681,000,000","771,000,000","1,052,000,000","581,000,000","580,000,000","591,000,000","527,000,000","475,000,000","522,000,000","460,000,000","364,000,000","338,000,000","439,000,000","1,280,000,000","994,000,000","823,700,000","262,700,000","259,200,000","237,700,000","243,300,000","223,300,000","227,400,000","177,600,000","181,000,000","151,300,000","165,600,000","130,300,000","111,200,000","93,600,000","55,100,000","34,500,000"
			AccountsReceivable,"42,831,000,000","36,953,000,000","48,688,000,000","37,420,000,000","35,833,000,000","31,279,000,000","44,261,000,000","32,613,000,000","33,520,000,000","27,349,000,000","38,043,000,000","26,322,000,000","27,312,000,000","22,851,000,000","32,011,000,000","22,699,000,000","23,525,000,000","19,087,000,000","29,524,000,000","19,269,000,000","19,680,000,000","17,390,000,000","26,481,000,000","17,208,000,000","18,428,000,000","14,561,000,000","22,431,000,000","12,882,000,000","14,343,000,000","11,129,000,000","18,277,000,000","12,247,000,000","14,507,000,000","11,444,000,000","17,908,000,000","12,427,000,000","16,186,000,000","12,887,000,000","19,544,000,000","13,497,000,000","15,986,000,000","11,007,000,000","17,486,000,000","11,991,000,000","14,317,000,000","9,871,000,000","15,780,000,000","10,961,000,000","13,643,000,000","10,153,000,000","14,987,000,000","10,033,000,000","12,874,000,000","9,646,000,000","13,014,000,000","9,137,000,000","11,196,000,000","8,587,000,000","11,192,000,000","9,182,000,000","10,953,000,000","9,535,000,000","13,589,000,000","9,871,000,000","11,621,000,000","8,982,000,000","11,338,000,000","8,454,000,000","9,895,000,000","6,879,000,000","9,316,000,000","6,818,000,000","7,758,000,000","5,799,000,000","7,180,000,000","5,610,000,000","6,646,000,000","5,106,000,000","5,890,000,000","4,937,000,000","5,608,000,000","4,533,000,000","5,196,000,000","4,075,000,000","4,894,000,000","4,450,000,000","5,129,000,000","4,230,000,000","5,095,000,000","3,615,000,000","3,671,000,000","3,532,000,000","4,143,000,000","3,172,000,000","3,250,000,000",,"3,284,000,000","2,207,000,000","2,245,000,000","1,689,000,000","2,029,000,000","1,153,000,000","1,460,000,000","1,055,000,000","1,081,000,000","788,000,000","980,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"43,422,000,000","37,465,000,000","49,338,000,000","37,915,000,000","36,318,000,000","31,717,000,000","44,894,000,000","33,118,000,000","34,071,000,000","27,885,000,000","38,794,000,000","26,942,000,000","27,954,000,000","23,461,000,000","32,799,000,000","23,145,000,000","23,909,000,000","19,390,000,000","29,935,000,000","19,605,000,000","20,034,000,000","17,709,000,000","26,858,000,000","17,519,000,000","18,765,000,000","14,846,000,000","22,776,000,000","13,184,000,000","14,683,000,000","11,413,000,000","18,703,000,000","12,608,000,000","14,891,000,000","11,694,000,000","18,243,000,000","12,695,000,000","16,474,000,000","13,156,000,000","19,845,000,000","13,752,000,000","16,302,000,000","11,301,000,000","17,822,000,000","12,258,000,000","14,609,000,000","10,136,000,000","16,169,000,000","11,283,000,000","13,964,000,000","10,450,000,000","15,320,000,000","10,337,000,000","13,191,000,000","9,958,000,000","13,389,000,000",,,,"11,643,000,000",,,,"13,742,000,000",,,,"11,455,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
