name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989
OperatingCashFlow,"102,647,000,000","18,853,000,000","30,583,000,000","28,770,000,000","24,441,000,000","11,173,000,000","23,198,000,000","24,629,000,000","25,386,000,000","14,480,000,000","24,540,000,000","22,710,000,000","22,179,000,000","12,516,000,000","19,335,000,000","18,673,000,000","17,504,000,000","10,680,000,000","13,818,000,000","16,108,000,000","13,520,000,000","8,900,000,000","13,657,000,000","11,418,000,000","12,151,000,000","7,875,000,000","12,440,000,000","11,005,000,000","10,660,000,000","6,293,000,000","11,549,000,000","8,464,000,000","10,367,000,000","5,618,000,000","8,876,000,000","6,816,000,000","9,601,000,000","4,340,000,000","8,354,000,000","9,514,000,000","10,099,000,000","4,413,000,000","8,205,000,000","5,903,000,000","9,666,000,000","4,780,000,000","8,484,000,000","7,677,000,000","9,594,000,000","5,862,000,000","8,493,000,000","5,942,000,000","8,672,000,000","4,186,000,000","8,194,000,000","5,604,000,000","7,393,000,000","4,969,000,000","6,107,000,000","3,841,000,000","6,044,000,000","5,782,000,000","3,370,000,000","4,085,000,000","7,082,000,000","4,567,000,000","5,878,000,000","4,402,000,000","7,291,000,000","2,042,000,000","4,061,000,000","3,281,000,000","4,563,000,000","2,231,000,000","4,329,000,000","3,976,000,000","5,003,000,000","3,619,000,000","4,007,000,000","1,658,000,000","4,970,000,000","4,574,000,000","3,424,000,000","2,689,000,000","4,169,000,000","2,767,000,000","6,172,000,000","3,434,000,000","4,121,000,000","3,565,000,000","3,389,000,000","3,579,000,000","3,964,000,000","2,919,000,000","2,960,000,000","7,554,000,000","2,954,000,000","2,927,000,000","2,857,000,000","2,611,000,000","2,684,000,000","2,151,000,000","2,584,000,000","1,434,000,000","2,102,000,000","1,664,000,000","1,680,000,000","1,070,000,000","1,618,000,000","1,218,000,000","783,000,000","913,000,000","905,000,000","1,401,000,000","500,000,000","512,000,000","643,000,000","445,000,000","390,000,000","505,000,000","423,000,000","349,000,000","316,000,000","401,000,000","266,000,000","220,000,000","187,000,000","326,800,000","174,000,000","218,300,000","187,900,000","189,400,000","150,800,000","97,100,000","120,600,000","56,800,000","92,500,000","69,500,000","59,500,000"
	CashFlowFromContinuingOperatingActivities,"102,647,000,000","18,853,000,000","30,583,000,000","28,770,000,000","24,441,000,000","11,173,000,000","23,198,000,000","24,629,000,000","25,386,000,000","14,480,000,000","24,540,000,000","22,710,000,000","22,179,000,000","12,516,000,000","19,335,000,000","18,673,000,000","17,504,000,000","10,680,000,000","13,818,000,000","16,108,000,000","13,520,000,000","8,900,000,000","13,657,000,000","11,418,000,000","12,151,000,000","7,875,000,000","12,440,000,000","11,005,000,000","10,660,000,000","6,293,000,000","11,549,000,000","8,464,000,000","10,367,000,000","5,618,000,000","8,876,000,000","6,816,000,000","9,601,000,000","4,340,000,000","8,354,000,000","9,514,000,000","10,099,000,000","4,413,000,000","8,205,000,000","5,903,000,000","9,666,000,000","4,780,000,000","8,484,000,000","7,677,000,000","9,594,000,000","5,862,000,000","8,493,000,000","5,942,000,000","8,672,000,000","4,186,000,000","8,194,000,000","5,604,000,000","7,393,000,000","4,969,000,000","6,107,000,000","3,841,000,000","6,044,000,000","5,782,000,000","3,370,000,000","4,085,000,000","7,082,000,000","4,567,000,000","5,878,000,000","4,402,000,000","7,291,000,000","2,042,000,000","4,061,000,000","3,281,000,000","4,563,000,000","2,231,000,000","4,329,000,000","3,976,000,000","5,003,000,000","3,619,000,000","4,007,000,000","1,658,000,000","4,970,000,000","4,574,000,000","3,424,000,000","2,689,000,000","4,169,000,000","2,767,000,000","6,172,000,000","3,434,000,000","4,121,000,000","3,565,000,000","3,389,000,000","3,579,000,000","3,964,000,000","2,919,000,000","2,960,000,000","7,554,000,000","2,954,000,000","2,927,000,000","2,857,000,000","2,611,000,000","2,684,000,000","2,151,000,000","2,584,000,000","1,434,000,000","2,102,000,000","1,664,000,000","1,680,000,000","1,070,000,000","1,618,000,000","1,218,000,000","783,000,000","913,000,000","905,000,000","1,401,000,000","500,000,000","512,000,000","643,000,000","445,000,000","390,000,000","505,000,000","423,000,000","349,000,000","316,000,000","401,000,000","266,000,000","220,000,000","187,000,000","326,800,000","174,000,000","218,300,000","187,900,000","189,400,000","150,800,000","97,100,000","120,600,000","56,800,000","92,500,000","69,500,000","59,500,000"
		NetIncomeFromContinuingOperations,"82,541,000,000","21,870,000,000","22,291,000,000","20,081,000,000","18,299,000,000","16,425,000,000","17,556,000,000","16,740,000,000","16,728,000,000","18,765,000,000","20,505,000,000","16,458,000,000","15,457,000,000","15,463,000,000","13,893,000,000","11,202,000,000","10,752,000,000","11,649,000,000","10,678,000,000","13,187,000,000","8,809,000,000","8,420,000,000","8,824,000,000","8,873,000,000","7,424,000,000","-6,302,000,000","6,576,000,000","6,513,000,000","5,486,000,000","6,267,000,000","5,667,000,000","3,122,000,000","3,756,000,000","5,018,000,000","4,902,000,000","-3,195,000,000","4,985,000,000","5,863,000,000","4,540,000,000","4,612,000,000","5,660,000,000","6,558,000,000","5,244,000,000","4,965,000,000","6,055,000,000","6,377,000,000","4,466,000,000","-492,000,000","5,108,000,000","6,624,000,000","5,738,000,000",,,"6,634,000,000","5,410,000,000","4,518,000,000","4,006,000,000","6,662,000,000","3,574,000,000","3,045,000,000","2,977,000,000","4,174,000,000","4,373,000,000","4,297,000,000","4,388,000,000","4,707,000,000","4,289,000,000","3,035,000,000","4,926,000,000","2,626,000,000","3,478,000,000","2,828,000,000","2,977,000,000","3,653,000,000","3,141,000,000","3,700,000,000","2,563,000,000","3,463,000,000","2,528,000,000","2,690,000,000","1,315,000,000","1,549,000,000","2,614,000,000","1,921,000,000","4,166,000,000","1,865,000,000","2,041,000,000","1,525,000,000","2,738,000,000","2,283,000,000","1,283,000,000","65,000,000","2,451,000,000","2,624,000,000","2,206,000,000","2,409,000,000","2,385,000,000","2,436,000,000","2,191,000,000","2,202,000,000","1,917,000,000","1,983,000,000","1,683,000,000","1,357,000,000","1,337,000,000","1,133,000,000","663,000,000","1,057,000,000","1,042,000,000","741,000,000","614,000,000","559,000,000","562,000,000","575,000,000","499,000,000","368,000,000","396,000,000","373,000,000","316,000,000","362,000,000","256,000,000","289,000,000","239,000,000","265,000,000","243,000,000","236,000,000","209,000,000","210,100,000","178,800,000","175,200,000","144,000,000","138,400,000","123,800,000","112,900,000","87,600,000","80,000,000","75,100,000","74,500,000","49,600,000"
		OperatingGainsLosses,"216,000,000","198,000,000","14,000,000","44,000,000","-40,000,000","214,000,000","-22,000,000","157,000,000","105,000,000","-307,000,000","-364,000,000","-416,000,000","-351,000,000","-354,000,000","-128,000,000","-79,000,000","52,000,000","-203,000,000","11,000,000","-322,000,000","-95,000,000","-135,000,000","-240,000,000","-567,000,000","-438,000,000","-684,000,000","-523,000,000","-520,000,000","-590,000,000","-652,000,000","-311,000,000","-439,000,000","65,000,000","50,000,000","101,000,000","-264,000,000","-55,000,000","-179,000,000","55,000,000","-209,000,000","-40,000,000","47,000,000","93,000,000","99,000,000","-52,000,000","22,000,000","11,000,000","-126,000,000","68,000,000","-112,000,000","-30,000,000","15,000,000","-122,000,000","-226,000,000","-29,000,000","114,000,000","-68,000,000","-188,000,000","-66,000,000","1,000,000","507,000,000","139,000,000","36,000,000","-72,000,000","-179,000,000","-134,000,000","-187,000,000","4,000,000","-61,000,000","-29,000,000","-206,000,000","717,000,000","347,000,000","474,000,000","-84,000,000","1,612,000,000","402,000,000","912,000,000","575,000,000","1,620,000,000","-1,116,000,000","3,059,000,000","1,225,000,000","157,000,000","-1,783,000,000","1,494,000,000","1,888,000,000","1,671,000,000","136,000,000","281,000,000","1,932,000,000","3,959,000,000","274,000,000","200,000,000","229,000,000","5,315,000,000","859,000,000","1,160,000,000","905,000,000","-1,307,000,000","1,307,000,000","-245,000,000","85,000,000","-1,045,000,000","1,045,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"-79,000,000","52,000,000","-203,000,000","11,000,000","-322,000,000","-95,000,000","-135,000,000","-240,000,000","-567,000,000","-438,000,000","-684,000,000","-523,000,000","-520,000,000","-590,000,000","-652,000,000","-311,000,000","-439,000,000","65,000,000","50,000,000","101,000,000","-264,000,000","-55,000,000","-179,000,000","55,000,000","-209,000,000","-40,000,000","47,000,000","93,000,000","99,000,000","-52,000,000","22,000,000","11,000,000","-126,000,000","68,000,000","-112,000,000","-30,000,000","15,000,000","-122,000,000","-226,000,000","-29,000,000","114,000,000","-68,000,000","-188,000,000","-66,000,000","1,000,000","507,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"17,303,000,000","5,959,000,000","3,921,000,000","3,874,000,000","3,549,000,000","3,648,000,000","2,790,000,000","3,979,000,000","3,773,000,000","3,496,000,000","3,212,000,000","3,344,000,000","2,936,000,000","2,761,000,000","2,645,000,000","3,504,000,000","3,118,000,000","3,203,000,000","2,971,000,000","2,924,000,000","2,926,000,000","2,995,000,000","2,837,000,000","2,516,000,000","2,710,000,000","2,536,000,000","2,499,000,000","2,343,000,000","2,453,000,000","2,166,000,000","1,816,000,000","1,910,000,000","1,707,000,000","1,544,000,000","1,461,000,000","1,493,000,000","1,515,000,000","1,521,000,000","1,428,000,000","1,742,000,000","1,255,000,000","1,261,000,000","954,000,000","983,000,000","1,053,000,000","1,009,000,000","710,000,000","797,000,000","766,000,000","678,000,000","726,000,000","689,000,000","720,000,000","663,000,000","694,000,000","718,000,000","694,000,000","615,000,000","646,000,000","681,000,000","664,000,000","632,000,000","585,000,000","608,000,000","532,000,000","481,000,000","435,000,000","381,000,000","445,000,000","365,000,000","249,000,000","261,000,000","177,000,000","231,000,000","234,000,000","282,000,000","282,000,000","108,000,000","183,000,000","309,000,000","249,000,000","300,000,000","328,000,000","472,000,000","419,000,000","275,000,000","273,000,000","359,000,000","148,000,000","295,000,000","282,000,000","564,000,000","483,000,000","239,000,000","250,000,000","-292,000,000","275,000,000","325,000,000","345,000,000","496,000,000","158,000,000","177,000,000","179,000,000","248,000,000","279,000,000","269,000,000","228,000,000","143,000,000","108,000,000","144,000,000","162,000,000","144,000,000","189,000,000","78,000,000","69,000,000","66,000,000","70,000,000","66,000,000","67,000,000","76,000,000","73,000,000","47,000,000","41,000,000","39,000,000","38,000,000","36,000,000","38,000,000","39,300,000","27,500,000","24,800,000","20,700,000","28,200,000","19,100,000","15,500,000","13,000,000","13,800,000","12,000,000","11,000,000","9,500,000"
			DepreciationAndAmortization,"17,303,000,000","5,959,000,000","3,921,000,000","3,874,000,000","3,549,000,000","3,648,000,000","2,790,000,000","3,979,000,000","3,773,000,000","3,496,000,000","3,212,000,000","3,344,000,000","2,936,000,000","2,761,000,000","2,645,000,000","3,504,000,000","3,118,000,000","3,203,000,000","2,971,000,000","2,924,000,000","2,926,000,000","2,995,000,000","2,837,000,000","2,516,000,000","2,710,000,000","2,536,000,000","2,499,000,000","2,343,000,000","2,453,000,000","2,166,000,000","1,816,000,000","1,910,000,000","1,707,000,000","1,544,000,000","1,461,000,000","1,493,000,000","1,515,000,000","1,521,000,000","1,428,000,000","1,742,000,000","1,255,000,000","1,261,000,000","954,000,000","983,000,000","1,053,000,000","1,009,000,000","710,000,000","797,000,000","766,000,000","678,000,000","726,000,000","689,000,000","720,000,000","663,000,000","694,000,000",,"694,000,000","615,000,000","646,000,000",,,"632,000,000","585,000,000","608,000,000","532,000,000","481,000,000","435,000,000","381,000,000","445,000,000","365,000,000","249,000,000","261,000,000","177,000,000","231,000,000","234,000,000","282,000,000","282,000,000","108,000,000","183,000,000","309,000,000","249,000,000","300,000,000","328,000,000","472,000,000","419,000,000","275,000,000","273,000,000","359,000,000","148,000,000","295,000,000","282,000,000","564,000,000","483,000,000","239,000,000","250,000,000","-292,000,000","275,000,000","325,000,000","345,000,000","496,000,000","158,000,000","177,000,000","179,000,000","248,000,000","279,000,000","269,000,000","228,000,000","143,000,000","108,000,000","144,000,000","162,000,000","144,000,000","189,000,000","78,000,000","69,000,000","66,000,000","70,000,000","66,000,000","67,000,000","76,000,000","73,000,000","47,000,000","41,000,000","39,000,000","38,000,000","36,000,000","38,000,000","39,300,000","27,500,000","24,800,000","20,700,000","28,200,000","19,100,000","15,500,000","13,000,000","13,800,000","12,000,000","11,000,000","9,500,000"
				Depreciation,"17,303,000,000","5,959,000,000",,"3,874,000,000","3,549,000,000","3,648,000,000","2,790,000,000","3,979,000,000","3,773,000,000","3,496,000,000","3,212,000,000","3,344,000,000","2,936,000,000","2,761,000,000","2,645,000,000","3,504,000,000","3,118,000,000","3,203,000,000","2,971,000,000","2,924,000,000","2,926,000,000","2,995,000,000","2,837,000,000","2,516,000,000","2,710,000,000","2,536,000,000","2,499,000,000","2,343,000,000","2,453,000,000","2,166,000,000","1,816,000,000","1,910,000,000","1,707,000,000","1,544,000,000","1,461,000,000","1,493,000,000","1,515,000,000","1,521,000,000","1,428,000,000","1,742,000,000","1,255,000,000","1,261,000,000","954,000,000","983,000,000","1,053,000,000","1,009,000,000","710,000,000",,"766,000,000","678,000,000","726,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-5,833,000,000","-1,702,000,000","-568,000,000","-1,888,000,000","-1,675,000,000","-1,305,000,000","-1,191,000,000","283,000,000","-198,000,000","183,000,000","-5,970,000,000","-34,000,000","-88,000,000","-17,000,000","-11,000,000","447,000,000","-206,000,000","-53,000,000","-177,000,000","-5,723,000,000","-320,000,000","-173,000,000","-247,000,000","-2,389,000,000","-396,000,000","-2,305,000,000","-53,000,000","-1,947,000,000","-284,000,000","5,000,000","540,000,000","155,000,000","351,000,000","-247,000,000","73,000,000","-644,000,000","253,000,000","314,000,000","301,000,000","-369,000,000","-190,000,000","-176,000,000","404,000,000","-423,000,000","226,000,000","140,000,000","38,000,000","672,000,000","-134,000,000","14,000,000","402,000,000","326,000,000","-59,000,000","-117,000,000","-148,000,000","-483,000,000","-241,000,000","550,000,000","-46,000,000","300,000,000","-368,000,000","454,000,000","376,000,000","152,000,000","103,000,000","323,000,000","357,000,000","-209,000,000","981,000,000","-517,000,000","166,000,000","448,000,000","-271,000,000","170,000,000","-128,000,000","-248,000,000","-292,000,000","68,000,000","293,000,000","-554,000,000","54,000,000","-985,000,000","6,000,000","685,000,000","1,182,000,000","-592,000,000","-939,000,000","301,000,000","144,000,000","-22,000,000","-839,000,000","-1,777,000,000","361,000,000","262,000,000","734,000,000",,"876,000,000","0","-427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-5,833,000,000","-1,702,000,000","-568,000,000","-1,888,000,000","-1,675,000,000","-1,305,000,000","-1,191,000,000","283,000,000","-198,000,000","183,000,000","-5,970,000,000","-34,000,000","-88,000,000","-17,000,000","-11,000,000","447,000,000","-206,000,000","-53,000,000","-177,000,000","-5,723,000,000","-320,000,000","-173,000,000","-247,000,000","-2,389,000,000","-396,000,000","-2,305,000,000","-53,000,000","-1,947,000,000","-284,000,000","5,000,000","540,000,000","155,000,000","351,000,000","-247,000,000","73,000,000","-644,000,000","253,000,000","314,000,000","301,000,000","-369,000,000","-190,000,000","-176,000,000","404,000,000","-423,000,000","226,000,000","140,000,000","38,000,000","672,000,000","-134,000,000","14,000,000","402,000,000","326,000,000","-59,000,000","-117,000,000","-148,000,000","-483,000,000","-241,000,000","550,000,000","-46,000,000","300,000,000","-368,000,000","454,000,000","376,000,000","152,000,000","103,000,000","323,000,000","357,000,000","-209,000,000","981,000,000","-517,000,000","166,000,000","448,000,000","-271,000,000","170,000,000","-128,000,000","-248,000,000","-292,000,000","68,000,000","293,000,000","-554,000,000","54,000,000","-985,000,000","6,000,000","685,000,000","1,182,000,000","-592,000,000","-939,000,000","301,000,000","144,000,000","-22,000,000","-839,000,000","-1,777,000,000","361,000,000","262,000,000","734,000,000",,"876,000,000","0","-427,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
