name,01/31/2024,10/31/2023,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999
TotalAssets,"65,728,000,000","54,148,000,000","49,555,000,000","44,460,000,000","41,182,000,000","40,488,000,000","43,476,000,000","45,212,000,000","44,187,000,000","40,632,000,000","38,650,000,000","30,796,000,000","28,791,000,000","26,881,000,000","25,180,000,000","23,254,000,000","17,315,000,000","15,810,000,000","14,775,000,000","14,021,000,000","13,292,000,000","13,657,000,000","12,882,000,000","11,460,000,000","11,241,000,000","9,830,000,000","9,402,000,000","9,410,000,000","9,841,000,000","9,612,000,000","7,461,000,000","7,108,000,000","7,370,000,000","7,174,000,000","6,979,000,000","7,291,000,000","7,201,000,000","6,885,869,000","6,933,719,000","6,864,663,000","7,250,894,000","5,711,373,000","5,569,592,000","6,279,527,000","6,412,245,000","6,075,144,000","5,891,881,000","5,708,167,000","5,552,928,000","5,089,043,000","4,864,424,000","4,736,744,000","4,495,246,000","3,731,268,000","3,803,030,000","3,585,918,000","3,463,574,000","3,298,409,000","3,178,704,000","3,350,727,000","3,648,898,000","3,960,049,000","3,807,458,000","3,747,671,000","3,475,263,000","3,036,267,000","2,800,868,000","2,675,263,000","2,531,153,000","2,183,829,000","2,161,453,000","1,954,687,000","1,805,508,000","1,728,218,000","1,635,094,000","1,628,536,000","1,539,656,000","1,480,889,000","1,458,190,000","1,399,344,000","1,458,780,000","1,780,113,000","1,687,533,000","1,617,015,000","1,629,697,000","1,615,154,000","1,599,717,000","1,503,174,000","1,247,350,000","1,189,258,000","1,081,784,000","1,016,902,000","983,346,000","507,183,000","447,791,000","202,250,000","157,600,000","134,400,000","126,700,000"
	CurrentAssets,"44,345,000,000","32,658,000,000","28,797,000,000","24,883,000,000","23,073,000,000","23,223,000,000","27,418,000,000","29,575,000,000","28,829,000,000","25,806,000,000","25,806,000,000","18,127,000,000","16,055,000,000","14,393,000,000","14,681,000,000","19,584,000,000","13,690,000,000","12,420,000,000","11,391,000,000","10,629,000,000","10,557,000,000","11,386,000,000","10,831,000,000","9,448,000,000","9,255,000,000","8,479,000,000","8,070,000,000","8,116,000,000","8,536,000,000","8,307,000,000","6,156,000,000","5,790,000,000","6,053,000,000","5,834,000,000","5,608,000,000","5,832,000,000","5,713,000,000","5,341,109,000","5,377,586,000","5,273,798,000","5,624,711,000","4,049,841,000","3,922,608,000","4,606,616,000","4,775,258,000","4,424,827,000","4,213,851,000","4,032,116,000","3,905,358,000","3,500,071,000","3,317,557,000","3,496,763,000","3,226,950,000","2,655,962,000","2,726,980,000","2,480,830,000","2,357,716,000","2,167,905,000","2,020,684,000","2,167,958,000","2,480,099,000","2,814,219,000","2,748,993,000","2,888,829,000","2,756,054,000","2,397,405,000","2,154,233,000","2,031,770,000","2,025,888,000","1,726,289,000","1,722,627,000","1,550,299,000","1,449,976,000","1,401,915,000","1,319,657,000","1,304,926,000","1,211,151,000","1,146,294,000","1,116,957,000","1,052,712,000","1,058,104,000","1,446,043,000","1,400,789,000","1,351,602,000","1,346,296,000","1,324,480,000","1,319,064,000","1,234,109,000","1,006,937,000","965,730,000","880,653,000","930,884,000","925,740,000","466,936,000","413,226,000","173,175,000","127,600,000","108,100,000","103,400,000"
		CashCashEquivalentsAndShortTermInvestments,"25,984,000,000","18,281,000,000","16,023,000,000","15,320,000,000","13,296,000,000","13,143,000,000","17,037,000,000","20,338,000,000","21,208,000,000","19,298,000,000","19,654,000,000","12,667,000,000","11,561,000,000","10,139,000,000","10,981,000,000","16,354,000,000","10,897,000,000","9,769,000,000","8,475,000,000","7,802,000,000","7,422,000,000","7,591,000,000","7,943,000,000","7,300,000,000","7,108,000,000","6,320,000,000","5,877,000,000","6,206,000,000","6,798,000,000","6,671,000,000","4,879,000,000","4,754,000,000","5,037,000,000","4,728,000,000","4,505,000,000","4,792,000,000","4,623,000,000","4,240,797,000","4,386,054,000","4,347,817,000","4,671,810,000","3,032,954,000","2,935,893,000","3,713,351,000","3,727,883,000","3,434,772,000","3,278,100,000","3,130,812,000","3,129,576,000","2,748,354,000","2,474,496,000","2,726,541,000","2,490,563,000","1,772,500,000","1,764,896,000","1,728,227,000","1,634,079,000","1,466,105,000","1,338,147,000","1,255,390,000","1,304,888,000","1,657,230,000","1,621,639,000","1,809,478,000","1,852,953,000","1,571,563,000","1,307,024,000","1,117,850,000","1,173,595,000","851,167,000","955,053,000","950,174,000","786,178,000","717,546,000","731,512,000","670,045,000","587,850,000","613,324,000","657,303,000","604,043,000","612,126,000","1,011,587,000","1,050,338,000","1,028,413,000","911,577,000","826,411,000","828,397,000","791,377,000","717,165,000","681,078,000","627,301,000","674,275,000","694,883,000","289,205,000","269,800,000","61,560,000","55,200,000","46,800,000","51,800,000"
			CashAndCashEquivalents,"7,280,000,000","5,519,000,000","5,783,000,000","5,079,000,000","3,389,000,000","2,800,000,000","3,013,000,000","3,887,000,000","1,990,000,000","1,288,000,000","5,628,000,000","978,000,000","847,000,000","2,251,000,000","3,274,000,000","15,494,000,000","10,896,000,000","9,765,000,000","7,105,000,000","2,772,000,000","782,000,000","721,000,000","718,000,000","765,000,000","4,002,000,000","2,802,000,000","1,988,000,000","1,989,000,000","1,766,000,000","1,940,000,000","426,000,000","547,000,000","596,000,000","471,000,000","435,000,000","464,000,000","497,000,000","394,683,000","515,092,000","509,165,000","1,151,587,000","562,084,000","591,321,000","561,423,000","732,786,000","525,388,000","499,618,000","369,135,000","667,876,000","566,816,000","532,614,000","683,633,000","665,361,000","377,003,000","447,262,000","447,221,000","614,490,000","523,785,000","512,274,000","417,688,000","461,253,000","719,143,000","803,308,000","726,969,000","1,056,702,000","914,745,000","678,951,000","544,414,000","741,746,000","388,423,000","487,763,000","551,756,000","364,308,000","242,170,000","281,004,000","208,512,000","156,687,000","180,579,000","196,675,000","214,422,000","231,813,000","274,297,000","278,796,000","346,994,000","322,535,000","246,816,000","307,151,000","333,000,000","398,491,000","681,078,000","627,301,000","674,275,000","694,883,000","289,205,000","269,800,000","61,560,000","55,200,000","46,800,000","51,800,000"
			OtherShortTermInvestments,"18,704,000,000","12,762,000,000","10,240,000,000","10,241,000,000","9,907,000,000","10,343,000,000","14,024,000,000","16,451,000,000","19,218,000,000","18,010,000,000","14,026,000,000","11,689,000,000","10,714,000,000","7,888,000,000","7,707,000,000","860,000,000","1,000,000","4,000,000","1,370,000,000","5,030,000,000","6,640,000,000","6,870,000,000","7,225,000,000","6,535,000,000","3,106,000,000","3,518,000,000","3,889,000,000","4,217,000,000","5,032,000,000","4,731,000,000","4,453,000,000","4,207,000,000","4,441,000,000","4,257,000,000","4,070,000,000","4,328,000,000","4,126,000,000","3,846,114,000","3,870,962,000","3,838,652,000","3,520,223,000","2,470,870,000","2,344,572,000","3,151,928,000","2,995,097,000","2,909,384,000","2,778,482,000","2,761,677,000","2,461,700,000","2,181,538,000","1,941,882,000","2,042,908,000","1,825,202,000","1,395,497,000","1,317,634,000","1,281,006,000","1,019,589,000","942,320,000","825,873,000","837,702,000","843,635,000","938,087,000","818,331,000","1,082,509,000","796,251,000","656,818,000","628,073,000","573,436,000","431,849,000","462,744,000","467,290,000","398,418,000","421,870,000","475,376,000","450,508,000","461,533,000","431,163,000","432,745,000","460,628,000","389,621,000","380,313,000","737,290,000","771,542,000","681,419,000","589,042,000","579,595,000","521,246,000","458,377,000","318,674,000",,,,,,,,,,
		Receivables,"9,999,000,000","8,309,000,000","7,066,000,000","4,080,000,000","3,827,000,000","4,908,000,000","5,317,000,000","5,438,000,000","4,650,000,000","3,954,000,000","3,586,000,000","3,024,000,000","2,429,000,000","2,546,000,000","2,084,000,000","1,907,000,000","1,657,000,000","1,455,000,000","1,561,000,000","1,242,000,000","1,424,000,000","2,219,000,000","1,662,000,000","1,220,000,000","1,265,000,000","1,167,000,000","1,213,000,000","976,000,000","826,000,000","833,000,000","644,000,000","523,000,000","505,000,000","536,000,000","514,000,000","455,000,000","474,000,000","563,400,000","469,625,000","396,438,000","426,357,000","447,631,000","418,123,000","346,998,000","454,252,000","444,944,000","445,312,000","411,155,000","336,143,000","371,261,000","419,944,000","343,202,000","348,770,000","395,934,000","529,663,000","374,963,000","397,820,000","351,960,000","304,393,000","318,435,000","607,834,000","679,416,000","651,800,000","666,494,000","552,407,000","508,435,000","471,519,000","518,680,000","439,252,000","459,636,000","391,270,000","318,186,000","351,737,000","355,393,000","255,252,000","296,279,000","307,409,000","246,396,000","205,308,000","196,631,000","157,839,000","190,213,000","155,751,000","154,501,000","149,861,000","133,038,000","151,429,000","147,348,000","117,664,000","112,846,000","86,629,000","104,988,000","104,352,000","85,092,000","71,998,000","67,224,000","56,400,000","50,200,000","34,200,000"
			AccountsReceivable,"9,999,000,000","8,309,000,000","7,066,000,000","4,080,000,000","3,827,000,000","4,908,000,000","5,317,000,000","5,438,000,000","4,650,000,000","3,954,000,000","3,586,000,000","3,024,000,000","2,429,000,000","2,546,000,000","2,084,000,000","1,907,000,000","1,657,000,000","1,455,000,000","1,561,000,000","1,242,000,000","1,424,000,000","2,219,000,000","1,662,000,000","1,220,000,000","1,265,000,000","1,167,000,000","1,213,000,000","976,000,000","826,000,000","833,000,000","644,000,000","523,000,000","505,000,000","536,000,000","514,000,000","455,000,000","474,000,000","563,400,000","469,625,000","396,438,000","426,357,000","447,631,000","418,123,000","346,998,000","454,252,000","444,944,000","445,312,000","411,155,000","336,143,000","371,261,000","419,944,000","343,202,000","348,770,000","395,934,000","529,663,000","374,963,000","397,820,000","351,960,000","304,393,000","318,435,000","607,834,000","679,416,000","651,800,000","666,494,000","552,407,000","508,435,000","471,519,000","518,680,000","439,252,000","459,636,000","391,270,000","318,186,000","351,737,000","355,393,000","255,252,000","296,279,000","307,409,000","246,396,000","205,308,000","196,631,000","157,839,000","190,213,000","155,751,000","154,501,000","149,861,000","133,038,000","151,429,000","147,348,000","117,664,000","112,846,000","86,629,000","104,988,000",,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,"2,450,000,000",,,,"1,668,000,000",,,,,,,,"1,278,000,000",,,,"839,000,000",,,,"516,000,000",,,,"491,000,000",,,,"441,316,000",,,,"470,847,000",,,,"350,997,000",,,,"364,609,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,"-21,000,000",,,,"-11,000,000",,,,,,,,"-13,000,000",,,,"-13,000,000",,,,"-11,000,000",,,,"-17,000,000",,,,"-14,959,000",,,,"-16,595,000",,,,"-14,854,000",,,,"-15,839,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"5,282,000,000","4,779,000,000","4,319,000,000","4,611,000,000","5,159,000,000","4,454,000,000","3,889,000,000","3,163,000,000","2,605,000,000","2,233,000,000","2,114,000,000","1,992,000,000","1,826,000,000","1,495,000,000","1,401,000,000","1,128,000,000","979,000,000","1,047,000,000","1,204,000,000","1,426,000,000","1,575,000,000","1,417,000,000","1,090,000,000","797,000,000","796,000,000","857,000,000","855,000,000","821,000,000","794,000,000","679,000,000","521,000,000","394,000,000","418,000,000","425,000,000","441,000,000","438,000,000","483,000,000","408,081,000","387,434,000","393,280,000","387,765,000","380,319,000","378,280,000","377,597,000","412,467,000","428,983,000","387,185,000","342,707,000","340,297,000","319,602,000","361,911,000","380,964,000","345,525,000","434,227,000","388,139,000","330,674,000","277,643,000","279,216,000","327,259,000","537,834,000","523,988,000","432,279,000","420,126,000","358,521,000","306,143,000","276,305,000","332,635,000","354,680,000","373,558,000","378,661,000","346,366,000","254,870,000","284,847,000","300,955,000","307,759,000","315,518,000","297,551,000","266,985,000","234,796,000","234,238,000","260,819,000","217,859,000","165,785,000","145,046,000","205,043,000","285,350,000","253,927,000","213,877,000","120,488,000","89,610,000","86,770,000","90,380,000","93,192,000","68,135,000","55,241,000","37,631,000","11,700,000","8,400,000","15,200,000"
