name,ttm,01/31/2024,10/31/2023,07/31/2023,04/30/2023,01/31/2023,10/31/2022,07/31/2022,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999
OperatingCashFlow,"28,090,000,000","11,499,000,000","7,332,000,000","6,348,000,000","2,911,000,000","2,248,000,000","392,000,000","1,270,000,000","1,731,000,000","3,033,000,000","1,519,000,000","2,682,000,000","1,874,000,000","2,067,000,000","1,279,000,000","1,567,000,000","909,000,000","1,465,000,000","1,640,000,000","936,000,000","720,000,000","898,000,000","487,000,000","913,000,000","1,445,000,000","1,358,000,000","1,157,000,000","705,000,000","282,000,000","721,000,000","432,000,000","200,000,000","319,000,000","511,000,000","255,000,000","163,000,000","246,000,000","442,729,000","216,000,000","96,000,000","151,000,000","400,712,000","162,315,000","96,469,000","175,650,000","451,009,000","181,485,000","200,886,000","-9,208,000","410,518,000","244,417,000","82,021,000","172,200,000","434,673,000","212,177,000","34,344,000","-5,397,000","69,245,000","141,317,000","135,117,000","142,128,000","-19,845,000","43,003,000","80,957,000","145,245,000","252,471,000","380,125,000","342,402,000","295,198,000","230,395,000","289,318,000","17,002,000","50,396,000","225,383,000","84,099,000","47,347,000","89,579,000","99,171,000","434,000","-28,891,000","61,486,000","-949,000","-8,615,000","18,814,000","40,428,000","124,325,000","91,264,000","668,000","48,775,000","47,549,000","19,463,000","58,116,000","35,678,000","15,535,000","17,681,000","24,067,000","10,626,000","5,300,000","10,500,000","-3,260,000","3,360,000"
	CashFlowFromContinuingOperatingActivities,"28,090,000,000","11,499,000,000","7,332,000,000","6,348,000,000","2,911,000,000","2,248,000,000","392,000,000","1,270,000,000","1,731,000,000","3,033,000,000","1,519,000,000","2,682,000,000","1,874,000,000","2,067,000,000","1,279,000,000","1,567,000,000","909,000,000","1,465,000,000","1,640,000,000","936,000,000","720,000,000","898,000,000","487,000,000","913,000,000","1,445,000,000","1,358,000,000","1,157,000,000","705,000,000","282,000,000","721,000,000","432,000,000","200,000,000","319,000,000","511,000,000","255,000,000","163,000,000","246,000,000","442,729,000","216,000,000","96,000,000","151,000,000","400,712,000","162,315,000","96,469,000","175,650,000","451,009,000","181,485,000","200,886,000","-9,208,000","410,518,000","244,417,000","82,021,000","172,200,000","434,673,000","212,177,000","34,344,000","-5,397,000","69,245,000","141,317,000","135,117,000","142,128,000","-19,845,000","43,003,000","80,957,000","145,245,000","252,471,000","380,125,000","342,402,000","295,198,000","230,395,000","289,318,000","17,002,000","50,396,000","225,383,000","84,099,000","47,347,000","89,579,000","99,171,000","434,000","-28,891,000","61,486,000","-949,000","-8,615,000","18,814,000","40,428,000","124,325,000","91,264,000","668,000","48,775,000","47,549,000","19,463,000","58,116,000","35,678,000","15,535,000","17,681,000","24,067,000","10,626,000","5,300,000","10,500,000","-3,260,000","3,360,000"
		NetIncomeFromContinuingOperations,"29,760,000,000","12,285,000,000","9,243,000,000","6,189,000,000","2,043,000,000","1,414,000,000","680,000,000","656,000,000","1,618,000,000","3,003,000,000","2,464,000,000","2,373,000,000","1,912,000,000","1,457,000,000","1,336,000,000","622,000,000","917,000,000","951,000,000","898,000,000","553,000,000","394,000,000","566,000,000","1,230,000,000","1,101,000,000","1,244,000,000","1,119,000,000","837,000,000","584,000,000","507,000,000","654,000,000","543,000,000","261,000,000","208,000,000","208,000,000","246,000,000","26,000,000","134,000,000","193,128,000","172,000,000","128,000,000","137,000,000","146,917,000","118,734,000","96,448,000","77,891,000","173,973,000","209,080,000","119,046,000","60,437,000","116,025,000","178,273,000","151,573,000","135,219,000","171,651,000","84,862,000","-140,961,000","137,594,000","131,076,000","107,577,000","-105,302,000","-201,338,000","-147,665,000","61,748,000","-120,929,000","176,805,000","256,993,000","235,661,000","172,732,000","132,259,000","163,506,000","106,511,000","88,141,000","90,676,000","98,052,000","64,447,000","74,911,000","64,444,000","48,009,000","25,879,000","5,119,000","21,349,000","24,166,000","6,356,000","24,150,000","19,747,000","50,936,000","-48,636,000","5,254,000","83,245,000","72,820,000","41,315,000","32,926,000","26,650,000","31,060,000","28,068,000","22,522,000","18,287,000","14,600,000","10,600,000","6,639,000","6,261,000"
		OperatingGainsLosses,"-238,000,000","-262,000,000","69,000,000","-59,000,000","14,000,000","10,000,000","11,000,000","7,000,000","17,000,000","52,000,000","-19,000,000","0","-133,000,000",,"4,000,000","2,000,000","3,000,000",,,,,,,,,"-2,000,000","2,000,000","3,000,000","14,000,000","5,000,000","16,000,000","0","-3,000,000","1,000,000","-4,000,000","0","-3,000,000","1,105,000","-4,000,000","3,000,000","-17,000,000",,,,,,,,,,,,,,,,,,"0","-528,000","-88,000","-20,562,000","-1,246,000","1,907,000","1,238,000","52,580,000","-49,201,000","125,000","60,000","14,319,000","-102,000","-17,400,000","17,436,000","35,352,000","0","141,000","-56,000","11,943,000","-271,000","658,000","-113,000","7,663,000","9,190,000","884,000","467,000","-188,000","40,084,000","3,841,000","7,110,000","32,079,000","28,144,000","16,564,000","15,403,000","9,307,000","23,157,000","17,672,000","13,977,000","8,700,000","1,400,000","457,000","43,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,000,000","0","1,000,000","0","-1,000,000","1,000,000","0","-3,000,000","1,000,000","-4,000,000","0","-3,000,000","1,105,000","-4,000,000","3,000,000","-17,000,000",,"-258,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-238,000,000","-262,000,000","69,000,000","-59,000,000","14,000,000","10,000,000","11,000,000","7,000,000","17,000,000","52,000,000","-19,000,000","0","-133,000,000",,"4,000,000","2,000,000","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,508,000,000","387,000,000","372,000,000","365,000,000","384,000,000","426,000,000","406,000,000","378,000,000","334,000,000","309,000,000","298,000,000","286,000,000","281,000,000","288,000,000","299,000,000","404,000,000","107,000,000","106,000,000","92,000,000","92,000,000","91,000,000","78,000,000","68,000,000","59,000,000","57,000,000","54,000,000","49,000,000","49,000,000","47,000,000","47,000,000","48,000,000","47,000,000","45,000,000","46,000,000","48,000,000","49,000,000","54,000,000","53,955,000","55,000,000","56,000,000","55,000,000","54,838,000","62,726,000","61,840,000","59,744,000","58,401,000","57,148,000","56,195,000","54,491,000","51,895,000","52,387,000","52,159,000","47,764,000","46,393,000","46,876,000","46,573,000","47,147,000","47,914,000","48,770,000","49,322,000","50,658,000","48,055,000","49,304,000","46,306,000","41,358,000","36,936,000","33,030,000","31,892,000","31,334,000","34,292,000","25,031,000","24,208,000","24,031,000","23,788,000","24,522,000","24,770,000","24,897,000","31,085,000","24,026,000","24,074,000","23,412,000","24,278,000","22,842,000","19,610,000","15,958,000","15,151,000","16,166,000","14,069,000","12,830,000","14,759,000","11,917,000","10,622,000","6,199,000","5,012,000","4,380,000","3,343,000","3,101,000","3,000,000","2,600,000","2,383,000","1,717,000"
			DepreciationAndAmortization,"1,508,000,000","387,000,000","372,000,000","365,000,000","384,000,000","426,000,000","406,000,000","378,000,000","334,000,000","309,000,000","298,000,000","286,000,000","281,000,000","288,000,000","299,000,000","404,000,000","107,000,000","106,000,000","92,000,000","92,000,000","91,000,000","78,000,000","68,000,000","59,000,000","57,000,000","54,000,000","49,000,000","49,000,000","47,000,000","47,000,000","48,000,000","47,000,000","45,000,000","46,000,000","48,000,000","49,000,000","54,000,000","53,955,000","55,000,000","56,000,000","55,000,000","54,838,000","62,726,000","61,840,000","59,744,000","58,401,000","57,148,000","56,195,000","54,491,000","51,895,000","52,387,000","52,159,000","47,764,000","46,393,000","46,876,000","46,573,000","47,147,000","47,914,000","48,770,000","49,322,000","50,658,000","48,055,000","49,304,000","46,306,000","41,358,000","36,936,000","33,030,000","31,892,000","31,334,000","34,292,000","25,031,000","24,208,000","24,031,000","23,788,000","24,522,000","24,770,000","24,897,000","31,085,000","24,026,000","24,074,000","23,412,000","24,278,000","22,842,000","19,610,000","15,958,000","15,151,000","16,166,000","14,069,000","12,830,000","14,759,000","11,917,000","10,622,000","6,199,000","5,012,000","4,380,000","3,343,000","3,101,000","3,000,000","2,600,000","2,383,000","1,717,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,759,000","11,917,000","10,620,000","6,195,000",,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","2,000","4,000",,,,,,,,
