name,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008
TotalAssets,"106,618,000,000","93,941,000,000","90,591,000,000","86,833,000,000","82,338,000,000","74,426,000,000","68,513,000,000","66,038,000,000","62,131,000,000","57,834,000,000","55,146,000,000","52,972,000,000","52,148,000,000","45,691,000,000","38,135,000,000","37,250,000,000","34,309,000,000","32,795,000,000","31,872,597,000","28,912,524,000","29,740,000,000","29,262,713,000","27,910,000,000","27,271,429,000","28,655,372,000","28,107,074,000","26,043,705,000","25,053,726,000","22,664,076,000","12,592,397,000","11,868,952,000","9,191,702,000","8,067,939,000","7,547,497,000","6,468,185,000","6,120,030,000","5,830,667,000","5,437,533,000","5,054,463,000","4,500,410,000","2,416,930,000","2,166,209,000","1,887,844,000","1,143,778,000","1,114,190,000","809,177,000","776,869,000","761,100,000","713,448,000","700,250,000","646,155,000","407,289,000","386,082,000","361,621,000","147,974,000","145,320,000","130,424,000","155,916,000","51,699,000"
	CurrentAssets,"49,616,000,000","45,026,000,000","43,875,000,000","42,997,000,000","40,917,000,000","35,990,000,000","31,222,000,000","29,050,000,000","27,100,000,000","25,002,000,000","24,693,000,000","24,705,000,000","26,717,000,000","21,744,000,000","15,336,000,000","14,893,000,000","12,103,000,000","10,940,000,000","10,181,952,000","7,677,822,000","8,307,000,000","7,920,491,000","6,699,797,000","6,383,920,000","6,570,520,000","7,068,733,000","6,359,444,000","7,027,889,000","6,259,796,000","5,172,412,000","5,203,705,000","3,239,543,000","2,782,006,000","2,998,795,000","2,628,621,000","2,921,417,000","3,180,073,000","3,362,914,000","3,441,694,000","3,156,047,000","1,265,939,000","1,218,766,000","1,129,542,000","525,993,000","524,768,000","284,541,000","317,126,000","358,897,000","372,838,000","412,121,000","417,758,000","226,906,000","235,886,000","241,133,000","90,034,000","100,602,000","100,559,000","131,950,000","31,427,000"
		CashCashEquivalentsAndShortTermInvestments,"29,094,000,000","26,077,000,000","23,075,000,000","22,402,000,000","22,185,000,000","21,107,000,000","18,915,000,000","18,013,000,000","17,707,000,000","16,095,000,000","16,229,000,000","17,141,000,000","19,384,000,000","14,531,000,000","8,615,000,000","8,080,000,000","6,268,000,000","5,338,000,000","4,954,740,000","2,198,169,000","3,686,000,000","2,967,504,000","2,236,424,000","2,665,673,000","3,367,914,000","3,530,030,000","3,035,924,000","4,006,593,000","3,393,216,000","3,084,257,000","3,246,301,000","1,441,789,000","1,196,908,000","1,426,036,000","1,150,673,000","1,510,076,000","1,905,713,000","2,370,735,000","2,674,910,000","2,583,019,000","845,889,000","795,116,000","746,057,000","214,417,000","201,890,000","85,693,000","210,554,000","243,579,000","280,327,000","278,388,000","319,380,000","100,655,000","99,558,000","96,563,000","47,304,000","61,546,000","69,627,000","106,547,000","9,277,000"
			CashAndCashEquivalents,"16,398,000,000","15,932,000,000","15,296,000,000","16,048,000,000","16,253,000,000","19,532,000,000","18,324,000,000","17,505,000,000","17,576,000,000","16,065,000,000","16,229,000,000","17,141,000,000","19,384,000,000","14,531,000,000","8,615,000,000","8,080,000,000","6,268,000,000","5,338,000,000","4,954,740,000","2,198,169,000","3,686,000,000","2,967,504,000","2,236,424,000","2,665,673,000","3,367,914,000","3,530,030,000","3,035,924,000","4,006,593,000","3,393,216,000","3,084,257,000","3,246,301,000","1,441,789,000","1,196,908,000","1,426,036,000","1,150,673,000","1,510,076,000","1,905,713,000","2,370,735,000","2,674,910,000","2,393,908,000","845,889,000","795,116,000","746,057,000","214,417,000","201,890,000","85,693,000","210,554,000","218,570,000","255,266,000","213,328,000","319,380,000","100,655,000","99,558,000","96,563,000","47,304,000","61,546,000","69,627,000","106,547,000","9,277,000"
				CashFinancial,"15,903,000,000","14,779,000,000","15,023,000,000","15,115,000,000","13,965,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"495,000,000","1,153,000,000","273,000,000","933,000,000","2,288,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"12,696,000,000","10,145,000,000","7,779,000,000","6,354,000,000","5,932,000,000","1,575,000,000","591,000,000","508,000,000","131,000,000","30,000,000",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,"189,111,000",,,,,"0","0","0","25,009,000","25,061,000","65,060,000",,,"0",,,,,,
		Receivables,"3,508,000,000","2,520,000,000","3,447,000,000","2,993,000,000","2,952,000,000","2,192,000,000","2,081,000,000","2,311,000,000","1,913,000,000","1,962,000,000","2,129,000,000","1,890,000,000","1,886,000,000","1,757,000,000","1,485,000,000","1,274,000,000","1,324,000,000","1,128,000,000","1,147,100,000","1,046,945,000","949,000,000","1,155,001,000","569,874,000","652,848,000","515,381,000","607,734,000","453,539,000","440,349,000","499,142,000","326,895,000","178,594,000","318,056,000","168,965,000","119,964,000","138,648,000","200,052,000","226,604,000","156,889,000","96,607,000","72,380,000","49,109,000","47,580,000","113,544,000","46,139,000","26,842,000","9,164,000","11,023,000","13,589,000","9,539,000","18,250,000","23,308,000","20,260,000","6,710,000","8,062,000","6,467,000","5,931,000","3,488,000","1,386,000","3,320,000"
			AccountsReceivable,"3,508,000,000","2,520,000,000","3,447,000,000","2,993,000,000","2,952,000,000","2,192,000,000","2,081,000,000","2,311,000,000","1,913,000,000","1,962,000,000","2,129,000,000","1,890,000,000","1,886,000,000","1,757,000,000","1,485,000,000","1,274,000,000","1,324,000,000","1,128,000,000","1,147,100,000","1,046,945,000","949,000,000","1,155,001,000","569,874,000","652,848,000","515,381,000","607,734,000","453,539,000","440,349,000","499,142,000","326,895,000","178,594,000","318,056,000","168,965,000","119,964,000","138,648,000","200,052,000","226,604,000","156,889,000","96,607,000","72,380,000","49,109,000","47,580,000","113,544,000","46,139,000","26,842,000","9,164,000","11,023,000","13,589,000","9,539,000","18,250,000","23,308,000","20,260,000","6,710,000","8,062,000","6,467,000","5,931,000","3,488,000","1,386,000","3,320,000"
		Inventory,"13,626,000,000","13,721,000,000","14,356,000,000","14,375,000,000","12,839,000,000","10,327,000,000","8,108,000,000","6,691,000,000","5,757,000,000","5,199,000,000","4,733,000,000","4,132,000,000","4,101,000,000","4,218,000,000","4,018,000,000","4,494,000,000","3,552,000,000","3,581,000,000","3,382,358,000","3,836,850,000","3,113,000,000","3,314,127,000","3,324,643,000","2,565,826,000","2,263,537,000","2,471,382,000","2,438,111,000","2,220,336,000","2,067,454,000","1,604,571,000","1,609,607,000","1,301,961,000","1,277,838,000","1,293,717,000","1,212,279,000","1,054,840,000","953,675,000","752,492,000","596,927,000","450,730,000","340,355,000","347,545,000","254,891,000","237,618,000","268,504,000","159,048,000","66,669,000","55,427,000","50,082,000","49,216,000","54,312,000","50,823,000","45,182,000","39,508,000","29,518,000","28,588,000","23,222,000","19,653,000","16,650,000"
