name,ttm,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008
OperatingCashFlow,"13,256,000,000","4,370,000,000","3,308,000,000","3,065,000,000","2,513,000,000","3,278,000,000","5,100,000,000","2,351,000,000","3,995,000,000","4,585,000,000","3,147,000,000","2,124,000,000","1,641,000,000","3,019,000,000","2,400,000,000","964,000,000","-440,000,000","1,425,000,000","756,000,000","864,000,000","-640,000,000","1,234,561,000","1,391,040,000","-129,664,000","-398,376,000","509,891,000","-300,562,000","-200,172,000","-69,811,000","-448,209,000","423,649,000","150,336,000","-249,605,000","-29,849,000","-203,340,000","-159,516,000","-131,794,000","-86,402,000","-27,996,000","-1,662,000","58,723,000","129,762,000","102,036,000","-35,298,000","64,079,000","-60,061,000","-101,026,000","-64,264,000","-63,300,000","-27,088,000","-21,491,000","-22,488,000","-43,297,000","-34,284,000","-45,957,000","-20,247,000","-27,329,000","-29,007,000","-23,489,000","-12,166,000","-16,163,000","-22,354,000"
	CashFlowFromContinuingOperatingActivities,"13,256,000,000","4,370,000,000","3,308,000,000","3,065,000,000","2,513,000,000","3,278,000,000","5,100,000,000","2,351,000,000","3,995,000,000","4,585,000,000","3,147,000,000","2,124,000,000","1,641,000,000","3,019,000,000","2,400,000,000","964,000,000","-440,000,000","1,425,000,000","756,000,000","864,000,000","-640,000,000","1,234,561,000","1,391,040,000","-129,664,000","-398,376,000","509,891,000","-300,562,000","-200,172,000","-69,811,000","-448,209,000","423,649,000","150,336,000","-249,605,000","-29,849,000","-203,340,000","-159,516,000","-131,794,000","-86,402,000","-27,996,000","-1,662,000","58,723,000","129,762,000","102,036,000","-35,298,000","64,079,000","-60,061,000","-101,026,000","-64,264,000","-63,300,000","-27,088,000","-21,491,000","-22,488,000","-43,297,000","-34,284,000","-45,957,000","-20,247,000","-27,329,000","-29,007,000","-23,489,000","-12,166,000","-16,163,000","-22,354,000"
		NetIncomeFromContinuingOperations,"14,974,000,000","7,943,000,000","1,878,000,000","2,614,000,000","2,539,000,000","3,707,000,000","3,331,000,000","2,269,000,000","3,280,000,000","2,343,000,000","1,659,000,000","1,178,000,000","464,000,000","296,000,000","369,000,000","129,000,000","68,000,000","132,000,000","150,000,000","-389,000,000","-668,000,000","210,078,000","254,333,000","-742,706,000","-784,627,000","-770,807,000","-671,163,000","-401,427,000","-397,181,000","-219,469,000","21,878,000","-293,188,000","-282,267,000","-320,397,000","-229,858,000","-184,227,000","-154,181,000","-107,629,000","-74,709,000","-61,902,000","-49,800,000","-16,264,000","-38,496,000","-30,502,000","11,248,000","-89,931,000","-110,806,000","-105,603,000","-89,873,000","-81,489,000","-65,078,000","-58,903,000","-48,941,000","-51,358,000","-34,934,000","-38,517,000","-29,519,000","-24,242,000","-4,615,000","-10,867,000","-16,016,000","-25,498,000"
		OperatingGainsLosses,"-144,000,000","173,000,000","-34,000,000","-258,000,000","-25,000,000","114,000,000","53,000,000","84,000,000","-30,000,000","-63,000,000","60,000,000","24,000,000","-103,000,000","20,000,000","106,000,000","19,000,000","19,000,000","131,000,000","-70,000,000","58,000,000","-21,000,000","33,825,000","965,000","25,137,000","99,898,000","62,506,000","12,607,000","36,782,000","46,184,000","-17,153,000","19,121,000","-13,333,000","16,815,000","49,105,000","22,621,000","-8,968,000","30,730,000","3,942,000","2,250,000","8,004,000","-1,909,000","3,655,000","338,000","4,457,000","-10,692,000",,"1,205,000","-154,000","-155,000",,,,,,,,,"3,071,000","0","-1,442,000","-26,000",
			GainLossOnSaleOfPPE,"0","0","0",,,"34,000,000","0","106,000,000","0","0","51,000,000","23,000,000","-101,000,000","50,000,000","0","0","0","77,000,000","21,000,000","30,000,000","18,000,000","28,722,000","14,150,000","66,613,000","52,237,000","46,130,000","6,068,000","12,452,000","41,120,000","22,452,000","618,000","-14,608,000","26,171,000","28,923,000","3,809,000","2,238,000","2,753,000","3,126,000","4,747,000","6,305,000","0",,"862,000",,,,,,,,,,,,,,"0","385,000",,,"0","0"
			NetForeignCurrencyExchangeGainLoss,"-144,000,000","173,000,000","-34,000,000","-258,000,000","-25,000,000","80,000,000","53,000,000","-22,000,000","-30,000,000","-63,000,000","9,000,000","1,000,000","-2,000,000","-30,000,000","106,000,000","19,000,000","19,000,000","54,000,000","-91,000,000","28,000,000","-39,000,000","5,103,000","-13,185,000","-41,476,000","47,661,000","16,376,000","6,539,000","24,330,000","5,064,000","-39,605,000","18,503,000","1,275,000","-9,356,000","20,182,000","18,812,000","-11,206,000","27,977,000","816,000","-2,497,000","1,699,000","-1,909,000",,"-524,000","4,302,000","0",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-10,692,000",,"1,205,000","-154,000","-155,000",,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"4,667,000,000","1,232,000,000","1,235,000,000","1,154,000,000","1,046,000,000","989,000,000","956,000,000","922,000,000","880,000,000","848,000,000","761,000,000","681,000,000","621,000,000","618,000,000","584,000,000","567,000,000","553,000,000","577,000,000","530,000,000","579,000,000","468,000,000","496,737,000","502,512,000","485,255,000","416,233,000","469,606,000","400,624,000","389,171,000","376,602,000","326,939,000","280,468,000","183,232,000","156,460,000","143,723,000","110,366,000","91,389,000","77,112,000","67,976,000","64,972,000","54,715,000","44,268,000","37,585,000","28,450,000","22,198,000","17,850,000","12,792,000","7,522,000","4,348,000","4,163,000","4,804,000","4,280,000","4,318,000","3,517,000","2,890,000","3,109,000","2,483,000","2,141,000","1,935,000","1,948,000","1,685,000","1,372,000","1,294,000"
			DepreciationAndAmortization,"4,667,000,000","1,232,000,000","1,235,000,000","1,154,000,000","1,046,000,000","989,000,000","956,000,000","922,000,000","880,000,000","848,000,000","761,000,000","681,000,000","621,000,000","618,000,000","584,000,000","567,000,000","553,000,000","577,000,000","530,000,000","579,000,000","468,000,000","496,737,000","502,512,000","485,255,000","416,233,000","469,606,000","400,624,000","389,171,000","376,602,000","326,939,000","280,468,000","183,232,000","156,460,000","143,723,000","110,366,000","91,389,000","77,112,000","67,976,000","64,972,000","54,715,000","44,268,000","37,585,000","28,450,000","22,198,000","17,850,000","12,792,000","7,522,000","4,348,000","4,163,000","4,804,000","4,280,000","4,318,000","3,517,000","2,890,000","3,109,000","2,483,000","2,141,000","1,935,000","1,948,000","1,685,000","1,372,000","1,294,000"
				Depreciation,"4,667,000,000",,,"1,154,000,000","1,046,000,000","989,000,000","956,000,000","922,000,000","880,000,000",,"761,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-6,349,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-6,349,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"463,000,000","102,000,000","144,000,000","167,000,000","50,000,000","59,000,000","60,000,000","25,000,000","33,000,000","12,000,000","40,000,000","39,000,000","49,000,000","62,000,000","52,000,000","43,000,000","45,000,000","26,000,000","51,000,000","35,000,000","81,000,000","25,289,000","13,902,000","27,552,000","18,546,000","33,318,000","27,092,000","44,337,000","26,918,000","15,231,000","20,564,000","16,715,000","13,010,000","21,637,000","7,353,000","10,049,000","5,901,000","1,114,000","10,645,000","2,272,000","1,578,000","2,130,000","1,199,000","4,057,000","1,532,000","840,000","411,000","1,066,000","2,612,000","408,000","768,000","269,000","383,000","299,000","301,000","210,000","141,000",,"314,000",,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,205,000","-154,000","-155,000","649,000","340,000","340,000","1,421,000",,"-3,072,000","6,350,000","2,332,000",,,,,
